###### TEST LOG ####################
# Time taken               : 26.40 s
# Test Parameters: 
# 0.70 0.98 0.00 1.00
# 1.00 1.00 0.00 0.00
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 1070
# HQ Tests Done in total   : 0
# All Tests Done in total  : 1070
# Results Given in total   : 1070
# Locations Moved in total : 3966482
# Total recovered HCW      : 46
# Total HCW                : 79
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9989 9 0 0 0 2 0 0 0 10 0 0 0 
2 9988 8 1 0 0 3 0 0 0 10 0 0 0 
3 9985 8 3 0 0 4 0 0 0 10 0 0 0 
4 9983 7 2 3 0 5 0 0 0 10 0 0 0 
5 9982 7 2 4 0 5 0 0 0 10 0 0 0 
6 9980 5 3 5 0 7 0 0 0 10 0 0 0 
7 9976 7 3 7 0 7 0 0 0 10 0 0 0 
8 9974 8 3 8 0 7 0 0 0 10 0 0 0 
9 9971 9 5 5 0 10 0 0 0 10 0 0 0 
10 9967 6 5 6 1 15 0 0 0 10 0 0 0 
11 9966 5 3 8 0 18 0 0 0 10 0 0 0 
12 9957 9 7 8 0 19 0 0 0 10 0 0 0 
13 9954 10 6 9 0 21 0 0 0 10 0 0 0 
14 9952 9 2 10 2 25 0 0 0 10 0 0 0 
15 9942 12 6 10 1 28 1 0 0 10 0 0 0 
16 9939 10 4 12 1 32 2 0 0 10 0 0 0 
17 9932 13 5 11 0 36 3 0 0 10 0 0 0 
18 9930 12 5 8 1 41 3 0 0 10 0 0 0 
19 9923 13 6 10 0 44 4 0 0 10 0 0 0 
20 9918 14 3 12 1 48 4 0 0 10 0 0 0 
21 9911 15 3 13 2 52 4 0 0 10 0 0 0 
22 9905 14 7 11 1 57 5 0 0 10 0 0 0 
23 9905 11 4 12 1 62 5 0 0 10 0 0 0 
24 9903 11 2 13 1 65 5 0 0 10 0 0 0 
25 9898 9 5 13 1 70 4 0 0 10 0 0 0 
26 9896 10 2 16 1 70 5 0 0 10 0 0 0 
27 9895 9 1 17 1 73 4 0 0 10 0 0 0 
28 9885 13 5 15 0 78 4 0 0 10 0 0 0 
29 9878 15 8 17 0 78 4 0 0 10 0 0 0 
30 9868 17 10 20 0 82 3 0 0 10 0 0 0 
31 9860 18 10 22 0 88 2 0 0 10 0 0 0 
32 9854 20 6 24 1 93 2 0 0 10 0 0 0 
33 9844 19 6 25 1 102 3 0 0 10 0 0 0 
34 9838 21 7 23 2 106 3 0 0 10 0 0 0 
35 9823 23 12 23 2 113 4 0 0 10 0 0 0 
36 9808 26 15 25 2 120 4 0 0 10 0 0 0 
37 9796 28 15 26 2 128 5 0 0 10 0 0 0 
38 9786 27 13 28 4 136 6 0 0 10 0 0 0 
39 9771 30 17 29 2 144 7 0 0 10 0 0 0 
40 9755 34 14 31 5 154 7 0 0 10 0 0 0 
41 9745 35 11 32 5 163 9 0 0 10 0 0 0 
42 9730 38 15 27 4 177 9 0 0 10 0 0 0 
43 9712 46 17 29 3 186 7 0 0 10 0 0 0 
44 9693 48 20 33 4 195 7 0 0 10 0 0 0 
45 9676 51 22 33 5 207 6 0 0 10 0 0 0 
46 9649 56 24 37 5 225 4 0 0 10 0 0 0 
