###### TEST LOG ####################
# Time taken               : 25.06 s
# Test Parameters: 
# 0.75 0.98 0.00 1.00
# 1.00 1.00 0.00 0.00
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 1230
# HQ Tests Done in total   : 0
# All Tests Done in total  : 1230
# Results Given in total   : 1230
# Locations Moved in total : 3966002
# Total recovered HCW      : 69
# Total HCW                : 80
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9990 9 0 0 0 1 0 0 0 10 0 0 0 
2 9988 8 2 0 0 2 0 0 0 10 0 0 0 
3 9984 8 2 2 1 3 0 0 0 10 0 0 0 
4 9980 9 3 3 0 4 1 0 0 10 0 0 0 
5 9974 8 5 3 1 7 2 0 0 10 0 0 0 
6 9973 6 4 4 0 11 2 0 0 10 0 0 0 
7 9972 7 3 5 0 11 2 0 0 10 0 0 0 
8 9963 11 8 5 0 12 1 0 0 10 0 0 0 
9 9961 9 8 7 0 14 1 0 0 10 0 0 0 
10 9955 8 7 9 1 19 1 0 0 10 0 0 0 
11 9948 11 8 7 2 22 2 0 0 10 0 0 0 
12 9941 10 10 10 2 24 3 0 0 10 0 0 0 
13 9933 14 11 8 3 28 3 0 0 10 0 0 0 
14 9930 14 9 7 2 33 5 0 0 10 0 0 0 
15 9922 18 6 11 2 37 4 0 0 10 0 0 0 
16 9917 18 8 10 0 43 4 0 0 10 0 0 0 
17 9910 20 8 11 1 46 4 0 0 10 0 0 0 
18 9904 21 8 13 1 50 3 0 0 10 0 0 0 
19 9895 24 7 15 2 54 3 0 0 10 0 0 0 
20 9888 24 7 17 2 59 3 0 0 10 0 0 0 
21 9879 25 4 20 1 69 2 0 0 10 0 0 0 
22 9874 25 2 22 1 76 0 0 0 10 0 0 0 
23 9870 18 3 23 1 85 0 0 0 10 0 0 0 
24 9867 18 5 22 0 88 0 0 0 10 0 0 0 
25 9862 18 7 20 0 93 0 0 0 10 0 0 0 
26 9853 21 8 22 0 96 0 0 0 10 0 0 0 
27 9840 19 14 27 0 100 0 0 0 10 0 0 0 
28 9826 19 14 32 2 107 0 0 0 10 0 0 0 
29 9813 25 14 33 1 112 2 0 0 10 0 0 0 
30 9802 27 9 37 2 121 2 0 0 10 0 0 0 
31 9781 39 10 38 1 128 3 0 0 10 0 0 0 
32 9766 42 13 41 1 135 2 0 0 10 0 0 0 
33 9742 50 14 42 2 148 2 0 0 10 0 0 0 
34 9722 57 14 45 2 158 2 0 0 10 0 0 0 
35 9710 58 10 48 3 169 2 0 0 10 0 0 0 
36 9679 61 18 49 3 188 2 0 0 10 0 0 0 
37 9658 58 22 50 4 206 2 0 0 10 0 0 0 
38 9643 59 15 57 3 219 4 0 0 10 0 0 0 
39 9619 61 21 53 4 238 4 0 0 10 0 0 0 
40 9585 67 21 59 8 256 4 0 0 10 0 0 0 
41 9559 72 23 60 7 273 6 0 0 10 0 0 0 
42 9529 76 26 67 5 289 8 0 0 10 0 0 0 
43 9501 75 20 77 4 313 10 0 0 10 0 0 0 
44 9466 75 23 82 7 338 9 0 0 10 0 0 0 
45 9435 81 28 78 8 360 10 0 0 10 0 0 0 
46 9402 79 36 79 6 385 13 0 0 10 0 0 0 
47 9367 91 32 87 4 404 15 0 0 10 0 0 0 
48 9328 98 32 93 5 429 15 0 0 10 0 0 0 
49 9290 106 28 101 5 456 14 0 0 10 0 0 0 
50 9251 108 34 111 6 477 13 0 0 10 0 0 0 
51 9202 119 44 108 8 505 14 0 0 10 0 0 0 
52 9155 126 43 116 5 539 16 0 0 10 0 0 0 
53 9105 139 44 129 5 562 16 0 0 10 0 0 0 
54 9053 153 49 126 8 595 16 0 0 10 0 0 0 
55 8997 155 57 131 8 636 16 0 0 10 0 0 0 
56 8942 154 54 143 6 684 17 0 0 10 0 0 0 
57 8882 181 52 146 8 716 15 0 0 10 0 0 0 
58 8813 187 67 150 7 758 18 0 0 10 0 0 0 
59 8748 189 61 171 7 805 19 0 0 10 0 0 0 
60 8681 194 66 180 5 856 18 0 0 10 0 0 0 
61 8610 200 73 184 6 908 19 0 0 10 0 0 0 
62 8530 213 74 197 10 955 21 0 0 10 0 0 0 
63 8446 222 70 212 12 1012 26 0 0 10 0 0 0 
64 8366 221 76 227 11 1069 30 0 0 10 0 0 0 
65 8277 218 89 244 11 1135 26 0 0 10 0 0 0 
66 8189 232 92 243 11 1203 30 0 0 10 0 0 0 
67 8092 237 103 256 12 1267 33 0 0 10 0 0 0 
68 8010 243 96 280 7 1330 34 0 0 10 0 0 0 
69 7928 243 86 299 6 1402 36 0 0 10 0 0 0 
70 7860 245 76 299 12 1476 32 0 0 10 0 0 0 
71 7762 271 81 302 12 1538 34 0 0 10 0 0 0 
72 7666 278 87 304 11 1618 36 0 0 10 0 0 0 
73 7577 295 92 307 12 1678 39 0 0 10 0 0 0 
74 7488 301 93 315 15 1748 40 0 0 10 0 0 0 
75 7398 301 101 310 10 1839 41 0 0 10 0 0 0 
76 7289 314 101 329 11 1921 35 0 0 10 0 0 0 
77 7186 323 105 342 6 2000 38 0 10 0 4 0 0 
78 7069 337 99 360 12 2087 36 0 20 0 13 0 0 
79 6950 352 105 379 10 2165 39 0 30 0 20 0 0 
80 6837 372 102 381 11 2258 39 0 40 0 27 0 0 
81 6726 371 92 393 21 2357 40 0 50 0 35 0 0 
82 6636 370 90 395 15 2443 51 0 60 0 43 0 0 
83 6534 380 95 382 18 2537 54 0 70 0 51 0 0 
84 6428 385 98 396 14 2621 58 0 80 0 59 0 0 
85 6313 384 112 397 17 2717 60 0 90 0 68 0 0 
86 6226 374 108 401 21 2806 64 0 100 0 76 0 0 
87 6105 386 109 388 23 2923 66 0 110 0 85 0 0 
88 6008 380 107 392 17 3030 66 0 120 0 93 0 0 
89 5889 388 122 386 20 3133 62 0 130 0 100 0 0 
90 5798 372 103 403 26 3238 60 0 140 0 105 0 0 
91 5708 367 101 410 22 3323 69 0 150 0 106 0 0 
92 5599 374 106 409 24 3419 69 0 160 0 105 0 0 
93 5501 365 105 418 19 3516 76 0 170 0 106 0 0 
94 5410 352 105 410 16 3633 74 0 180 0 106 0 0 
95 5332 344 105 403 21 3725 70 0 190 0 106 0 0 
96 5247 339 100 408 18 3816 72 0 200 0 106 0 0 
97 5161 348 88 413 16 3902 72 0 210 0 106 0 0 
98 5089 332 84 400 18 4004 73 0 220 0 107 0 0 
99 5019 321 82 399 13 4089 77 0 230 0 107 0 0 
100 4940 309 81 402 8 4175 85 0 240 0 108 0 0 
101 4853 313 81 382 11 4278 82 0 250 0 108 0 0 
102 4787 299 75 365 15 4381 78 0 260 0 108 0 0 
103 4723 287 72 356 18 4467 77 0 270 0 111 0 0 
104 4660 281 75 351 19 4539 75 0 280 0 111 0 0 
105 4607 273 68 344 14 4620 74 0 290 0 113 0 0 
106 4555 253 61 335 12 4710 74 0 300 0 112 0 0 
107 4499 248 52 332 9 4793 67 0 310 0 111 0 0 
108 4448 238 61 310 8 4877 58 0 320 0 109 0 0 
109 4389 235 65 291 11 4953 56 0 330 0 108 0 0 
110 4355 224 51 286 12 5019 53 0 340 0 110 0 0 
111 4311 219 47 281 11 5081 50 0 350 0 108 0 0 
112 4275 211 42 279 10 5139 44 0 360 0 104 0 0 
113 4230 209 40 258 11 5208 44 0 370 0 102 0 0 
114 4201 197 37 253 6 5262 44 0 380 0 101 0 0 
115 4168 188 37 243 8 5316 40 0 390 0 101 0 0 
116 4132 174 42 228 8 5379 37 0 400 0 98 0 0 
117 4102 170 37 223 8 5428 32 0 410 0 97 0 0 
118 4077 152 32 216 10 5482 31 0 420 0 100 0 0 
119 4048 146 29 203 8 5533 33 0 430 0 101 0 0 
120 4010 147 36 189 8 5577 33 0 440 0 102 0 0 
121 3978 145 40 180 8 5621 28 0 450 0 104 0 0 
122 3951 135 34 179 5 5671 25 0 460 0 107 0 0 
123 3939 128 32 165 5 5710 21 0 470 0 106 0 0 
124 3921 121 26 161 3 5747 21 0 480 0 104 0 0 
125 3896 117 27 151 3 5786 20 0 490 0 105 0 0 
126 3886 107 21 153 1 5812 20 0 500 0 105 0 0 
127 3865 101 19 151 2 5842 20 0 510 0 105 0 0 
128 3844 97 18 150 2 5867 22 0 520 0 103 0 0 
129 3832 93 13 147 2 5889 24 0 530 0 101 0 0 
130 3810 100 12 134 2 5918 24 0 540 0 104 0 0 
131 3790 99 18 119 0 5951 23 0 550 0 102 0 0 
132 3772 88 18 112 0 5990 20 0 560 0 101 0 0 
133 3762 86 15 108 1 6010 18 0 570 0 99 0 0 
134 3751 85 10 107 2 6027 18 0 580 0 100 0 0 
135 3744 80 8 107 0 6044 17 0 590 0 97 0 0 
136 3732 74 10 102 1 6067 14 0 600 0 96 0 0 
137 3723 65 12 94 0 6092 14 0 610 0 98 0 0 
138 3715 57 11 89 1 6115 12 0 620 0 99 0 0 
139 3710 52 7 85 0 6136 10 0 630 0 98 0 0 
140 3704 44 9 87 0 6146 10 0 640 0 101 0 0 
141 3696 42 10 80 1 6161 10 0 650 0 102 0 0 
142 3691 45 6 76 1 6173 8 0 660 0 104 0 0 
143 3687 42 7 71 1 6186 6 0 670 0 106 0 0 
144 3685 42 4 70 0 6192 7 0 680 0 103 0 0 
145 3685 38 3 66 0 6201 7 0 690 0 105 0 0 
146 3677 34 5 63 0 6214 7 0 700 0 100 0 0 
147 3672 35 3 60 0 6223 7 0 710 0 97 0 0 
148 3670 31 3 59 0 6230 7 0 720 0 92 0 0 
149 3666 30 4 53 0 6242 5 0 730 0 89 0 0 
150 3663 28 2 48 0 6254 5 0 740 0 87 0 0 
151 3662 27 2 42 0 6262 5 0 750 0 79 0 0 
152 3661 24 3 34 0 6273 5 0 760 0 71 0 0 
153 3659 24 4 31 0 6277 5 0 770 0 65 0 0 
154 3656 25 1 33 0 6281 4 0 780 0 63 0 0 
155 3655 24 1 30 0 6286 4 0 790 0 58 0 0 
156 3652 24 1 27 0 6292 4 0 800 0 51 0 0 
157 3651 21 1 24 0 6300 3 0 810 0 45 0 0 
158 3651 17 1 22 0 6306 3 0 820 0 42 0 0 
159 3650 16 1 19 0 6311 3 0 830 0 35 0 0 
160 3648 15 2 19 0 6313 3 0 840 0 34 0 0 
161 3648 15 1 20 0 6313 3 0 850 0 34 0 0 
162 3643 15 3 18 0 6319 2 0 860 0 31 0 0 
163 3642 12 2 18 0 6324 2 0 870 0 32 0 0 
164 3641 12 1 16 0 6327 3 0 880 0 27 0 0 
165 3640 11 2 15 0 6329 3 0 890 0 28 0 0 
166 3640 9 1 14 0 6333 3 0 900 0 29 0 0 
167 3640 7 1 12 0 6339 1 0 910 0 28 0 0 
168 3640 7 1 12 0 6339 1 0 920 0 21 0 0 
169 3640 6 1 10 0 6342 1 0 930 0 19 0 0 
170 3638 6 2 7 0 6346 1 0 940 0 18 0 0 
171 3636 7 3 7 0 6346 1 0 950 0 17 0 0 
