###### TEST LOG ####################
# Time taken               : 26.61 s
# Test Parameters: 
# 0.65 0.98 0.00 0.70
# 1.00 1.00 0.00 0.30
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 3955
# HQ Tests Done in total   : 1695
# All Tests Done in total  : 5650
# Results Given in total   : 5650
# Locations Moved in total : 3951704
# Total recovered HCW      : 46
# Total HCW                : 58
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9988 10 1 0 0 1 0 0 0 50 0 0 0 
2 9988 8 0 1 0 3 0 0 0 50 0 0 0 
3 9988 7 0 1 0 4 0 0 0 50 0 0 0 
4 9987 7 1 1 0 4 0 0 0 50 0 0 0 
5 9987 6 1 1 0 5 0 0 0 50 0 0 0 
6 9985 6 3 1 0 5 0 0 0 50 0 0 0 
7 9980 11 1 3 0 5 0 0 0 50 0 0 0 
8 9974 11 5 1 0 9 0 0 0 50 0 0 0 
9 9969 12 4 3 1 11 0 0 0 50 0 0 0 
10 9965 12 3 2 3 15 0 0 0 50 0 0 0 
11 9962 13 3 2 3 17 0 0 0 50 0 0 0 
12 9958 11 6 3 1 19 2 0 0 50 0 0 0 
13 9957 7 4 5 1 24 2 0 0 50 0 0 0 
14 9955 9 3 5 1 25 2 0 0 50 0 0 0 
15 9955 9 2 6 1 27 0 0 0 50 0 0 0 
16 9950 12 1 8 1 27 1 0 0 50 0 0 0 
17 9946 14 0 7 1 31 1 0 0 50 0 0 0 
18 9942 15 0 7 1 33 2 0 0 50 0 0 0 
19 9941 12 1 7 0 36 3 0 0 50 0 0 0 
20 9933 15 1 8 0 40 3 0 0 50 0 0 0 
21 9929 15 2 7 0 44 3 0 0 50 0 0 0 
22 9926 14 1 7 1 48 3 0 0 50 0 0 0 
23 9921 13 4 8 2 49 3 0 0 50 0 0 0 
24 9915 12 7 8 1 52 5 0 0 50 0 0 0 
25 9912 13 4 11 1 54 5 0 0 50 0 0 0 
26 9902 20 4 10 0 59 5 0 0 50 0 0 0 
27 9890 17 6 14 1 66 6 0 0 50 0 0 0 
28 9885 18 8 14 1 68 6 0 0 50 0 0 0 
29 9880 18 7 14 1 74 6 0 0 50 0 0 0 
30 9876 18 8 13 0 78 7 0 0 50 0 0 0 
31 9867 17 10 14 0 87 5 0 0 50 0 0 0 
32 9854 23 13 17 0 88 5 0 0 50 0 0 0 
33 9842 26 14 21 1 92 4 0 0 50 0 0 0 
34 9833 30 8 25 3 97 4 0 0 50 0 0 0 
35 9816 35 11 29 3 102 4 0 0 50 0 0 0 
36 9796 38 17 31 3 110 5 0 0 50 0 0 0 
37 9777 43 22 33 3 117 5 0 0 50 0 0 0 
38 9757 44 19 43 2 130 5 0 0 50 0 0 0 
39 9734 49 20 47 4 141 5 0 0 50 0 0 0 
40 9715 49 24 50 3 152 7 0 0 50 0 0 0 
41 9697 50 21 55 6 163 8 0 0 50 0 0 0 
42 9677 49 20 60 4 183 7 0 0 50 0 0 0 
43 9653 55 17 64 6 197 8 0 0 50 0 0 0 
44 9629 59 13 68 6 214 11 0 0 50 0 0 0 
45 9615 64 11 66 4 227 13 0 0 50 0 0 0 
46 9591 69 15 68 3 241 13 0 0 50 0 0 0 
47 9569 73 18 66 3 258 13 0 0 50 0 0 0 
48 9547 76 16 67 5 276 13 0 0 50 0 0 0 
49 9524 75 18 68 5 297 13 0 0 50 0 0 0 
50 9509 67 16 69 1 325 13 0 0 50 0 0 0 
51 9493 71 14 67 1 344 10 0 0 50 0 0 0 
52 9462 77 18 65 5 364 9 0 0 50 0 0 0 
53 9427 82 27 70 4 380 10 0 0 50 0 0 0 
54 9405 88 19 83 2 392 11 0 0 50 0 0 0 
55 9365 87 33 88 2 415 10 0 0 50 0 0 0 
56 9340 90 29 88 5 441 7 0 0 50 0 0 0 
57 9312 82 31 92 4 469 10 0 0 50 0 0 0 
58 9272 93 31 97 2 494 11 0 0 50 0 0 0 
59 9229 99 40 95 5 521 11 0 0 50 0 0 0 
60 9188 106 40 90 8 557 11 0 0 50 0 0 0 
61 9144 114 46 104 4 576 12 0 0 50 0 0 0 
62 9091 125 53 111 5 603 12 0 0 50 0 0 0 
63 9039 128 56 124 5 636 12 0 0 50 0 0 0 
64 8981 140 58 130 5 675 11 0 0 50 0 0 0 
65 8924 149 58 133 5 717 14 0 0 50 0 0 0 
66 8856 158 67 136 7 763 13 0 0 50 0 0 0 
67 8787 160 64 161 5 809 14 0 0 50 0 0 0 
68 8745 159 57 174 6 845 14 0 0 50 0 0 0 
69 8667 188 65 184 4 876 16 0 0 50 0 0 0 
70 8603 187 70 191 6 925 18 0 0 50 0 0 0 
71 8538 177 81 193 9 986 16 0 0 50 0 0 0 
72 8459 183 90 208 10 1032 18 0 0 50 0 0 0 
73 8378 186 91 213 11 1100 21 0 0 50 0 0 0 
74 8304 192 84 238 10 1147 25 0 0 50 0 0 0 
75 8225 193 75 265 13 1205 24 0 0 50 0 0 0 
76 8151 204 70 264 15 1274 22 0 0 50 0 0 0 
77 8077 193 74 267 10 1353 26 0 0 50 0 0 0 
78 8004 206 74 278 10 1401 27 0 0 50 0 0 0 
79 7931 225 76 287 9 1444 28 0 0 50 0 0 0 
80 7822 241 78 305 12 1512 30 0 0 50 0 0 0 
81 7739 247 83 297 8 1592 34 0 0 50 0 0 0 
82 7655 252 80 305 12 1662 34 0 0 50 0 0 0 
83 7561 260 97 308 9 1732 33 0 0 50 0 0 0 
84 7457 270 106 311 7 1813 36 0 0 50 0 0 0 
85 7350 280 105 326 12 1888 39 0 0 50 0 0 0 
86 7255 281 100 328 21 1971 44 0 0 50 0 0 0 
87 7154 288 107 337 16 2051 47 15 35 0 38 0 0 
88 7051 299 104 352 14 2131 49 30 70 0 73 0 0 
89 6966 311 87 357 20 2211 48 45 105 0 116 0 0 
90 6871 312 86 362 13 2300 56 60 140 0 154 0 0 
91 6791 311 75 373 15 2384 51 75 175 0 194 0 0 
92 6709 309 85 361 9 2466 61 90 210 0 229 0 0 
93 6625 310 87 356 14 2545 63 105 245 0 269 0 0 
94 6555 295 73 359 18 2638 62 120 280 0 305 0 0 
95 6481 285 77 348 12 2733 64 135 315 0 338 0 0 
96 6409 277 76 341 13 2822 62 150 350 0 373 0 0 
97 6346 272 70 327 15 2909 61 165 385 0 410 0 0 
98 6288 252 63 324 10 3005 58 180 420 0 443 0 0 
99 6244 245 51 324 12 3069 55 195 455 0 484 0 0 
100 6209 220 52 314 12 3135 58 210 490 0 520 0 0 
101 6157 220 49 300 14 3205 55 225 525 0 514 0 0 
102 6118 201 48 292 17 3273 51 240 560 0 512 0 0 
103 6080 199 47 282 9 3333 50 255 595 0 492 0 0 
104 6044 174 59 273 7 3391 52 270 630 0 474 0 0 
105 6019 155 59 268 7 3446 46 285 665 0 457 0 0 
106 5999 139 45 265 6 3503 43 300 700 0 453 0 0 
107 5966 129 38 257 10 3560 40 315 735 0 445 0 0 
108 5928 134 30 247 10 3611 40 330 770 0 439 0 0 
109 5902 130 32 242 10 3649 35 345 805 0 424 0 0 
110 5881 113 26 234 11 3702 33 360 840 0 410 0 0 
111 5855 119 20 226 9 3735 36 375 875 0 397 0 0 
112 5845 107 19 212 6 3774 37 390 910 0 380 0 0 
113 5829 97 17 197 5 3820 35 405 945 0 360 0 0 
114 5821 85 12 189 4 3855 34 420 980 0 341 0 0 
115 5804 81 14 179 3 3884 35 435 1015 0 323 0 0 
116 5793 74 10 170 3 3918 32 450 1050 0 312 0 0 
117 5783 65 11 159 3 3950 29 465 1085 0 299 0 0 
118 5771 59 12 152 3 3977 26 480 1120 0 292 0 0 
119 5762 57 10 144 3 4000 24 495 1155 0 283 0 0 
120 5754 55 10 131 3 4023 24 510 1190 0 256 0 0 
121 5742 53 11 122 1 4051 20 525 1225 0 244 0 0 
122 5737 49 9 115 1 4072 17 540 1260 0 231 0 0 
123 5730 44 7 109 3 4090 17 555 1295 0 221 0 0 
124 5723 42 8 101 3 4109 14 570 1330 0 205 0 0 
125 5715 41 6 93 3 4127 15 585 1365 0 187 0 0 
126 5710 42 3 83 3 4146 13 600 1400 0 176 0 0 
127 5699 43 6 75 2 4163 12 615 1435 0 168 0 0 
128 5693 39 5 70 1 4180 12 630 1470 0 154 0 0 
129 5689 30 4 70 1 4196 10 645 1505 0 151 0 0 
130 5686 26 4 68 0 4208 8 660 1540 0 141 0 0 
131 5677 27 6 62 0 4220 8 675 1575 0 134 0 0 
132 5673 21 7 60 0 4231 8 690 1610 0 123 0 0 
133 5669 19 8 54 0 4242 8 705 1645 0 116 0 0 
134 5663 19 8 48 0 4254 8 720 1680 0 116 0 0 
135 5657 16 8 41 0 4270 8 735 1715 0 102 0 0 
136 5651 18 8 40 0 4278 5 750 1750 0 95 0 0 
137 5648 17 6 42 0 4282 5 765 1785 0 92 0 0 
138 5647 16 5 37 0 4290 5 780 1820 0 89 0 0 
139 5645 15 6 33 0 4296 5 795 1855 0 85 0 0 
140 5644 13 4 31 1 4303 4 810 1890 0 82 0 0 
141 5643 12 3 29 1 4308 4 825 1925 0 77 0 0 
142 5641 10 4 27 1 4313 4 840 1960 0 75 0 0 
143 5636 11 4 26 2 4317 4 855 1995 0 72 0 0 
144 5633 13 3 24 2 4320 5 870 2030 0 70 0 0 
145 5633 10 3 21 2 4327 4 885 2065 0 62 0 0 
146 5631 10 2 22 1 4329 5 900 2100 0 58 0 0 
147 5625 11 4 23 0 4331 6 915 2135 0 56 0 0 
148 5624 11 4 22 0 4334 5 930 2170 0 53 0 0 
149 5621 13 2 23 0 4337 4 945 2205 0 53 0 0 
150 5618 13 4 21 0 4340 4 960 2240 0 47 0 0 
151 5618 11 4 19 0 4344 4 975 2275 0 42 0 0 
152 5615 9 3 16 0 4353 4 990 2310 0 43 0 0 
153 5615 7 3 14 0 4358 3 1005 2345 0 42 0 0 
154 5613 8 3 14 0 4359 3 1020 2380 0 39 0 0 
155 5610 8 5 13 0 4361 3 1035 2415 0 35 0 0 
156 5607 8 5 15 0 4362 3 1050 2450 0 37 0 0 
157 5607 8 4 14 0 4364 3 1065 2485 0 35 0 0 
158 5605 8 2 17 0 4365 3 1080 2520 0 33 0 0 
159 5604 7 1 18 0 4367 3 1095 2555 0 37 0 0 
160 5603 6 0 18 0 4372 1 1110 2590 0 37 0 0 
161 5602 6 0 15 0 4376 1 1125 2625 0 33 0 0 
162 5602 5 0 13 0 4379 1 1140 2660 0 33 0 0 
163 5601 5 1 13 0 4380 0 1155 2695 0 31 0 0 
164 5600 5 0 11 0 4384 0 1170 2730 0 30 0 0 
165 5600 5 0 9 0 4386 0 1185 2765 0 29 0 0 
166 5599 4 1 7 0 4389 0 1200 2800 0 27 0 0 
167 5598 4 2 6 0 4390 0 1215 2835 0 29 0 0 
168 5598 4 1 6 0 4391 0 1230 2870 0 29 0 0 
169 5598 4 0 5 1 4392 0 1245 2905 0 29 0 0 
170 5598 4 0 5 0 4392 1 1260 2940 0 22 0 0 
171 5597 4 1 4 0 4393 1 1275 2975 0 20 0 0 
172 5597 4 1 4 0 4393 1 1290 3010 0 17 0 0 
173 5595 3 3 3 0 4395 1 1305 3045 0 14 0 0 
174 5595 2 2 3 0 4397 1 1320 3080 0 15 0 0 
175 5595 2 1 3 1 4397 1 1335 3115 0 16 0 0 
176 5595 2 0 4 1 4397 1 1350 3150 0 16 0 0 
177 5595 1 0 3 1 4399 1 1365 3185 0 15 0 0 
178 5595 1 0 3 0 4401 0 1380 3220 0 13 0 0 
179 5595 0 0 2 0 4403 0 1395 3255 0 12 0 0 
180 5595 0 0 2 0 4403 0 1410 3290 0 9 0 0 
181 5595 0 0 2 0 4403 0 1425 3325 0 9 0 0 
182 5595 0 0 2 0 4403 0 1440 3360 0 8 0 0 
183 5595 0 0 2 0 4403 0 1455 3395 0 9 0 0 
184 5595 0 0 2 0 4403 0 1470 3430 0 9 0 0 
185 5595 0 0 2 0 4403 0 1485 3465 0 9 0 0 
186 5595 0 0 1 0 4404 0 1500 3500 0 11 0 0 
187 5595 0 0 1 0 4404 0 1515 3535 0 13 0 0 
188 5595 0 0 1 0 4404 0 1530 3570 0 12 0 0 
189 5595 0 0 1 0 4404 0 1545 3605 0 13 0 0 
190 5595 0 0 1 0 4404 0 1560 3640 0 12 0 0 
191 5595 0 0 1 0 4404 0 1575 3675 0 13 0 0 
192 5595 0 0 1 0 4404 0 1590 3710 0 15 0 0 
193 5595 0 0 1 0 4404 0 1605 3745 0 16 0 0 
194 5595 0 0 1 0 4404 0 1620 3780 0 17 0 0 
195 5595 0 0 1 0 4404 0 1635 3815 0 14 0 0 
196 5595 0 0 1 0 4404 0 1650 3850 0 14 0 0 
197 5595 0 0 1 0 4404 0 1665 3885 0 14 0 0 
198 5595 0 0 1 0 4404 0 1680 3920 0 14 0 0 
199 5595 0 0 1 0 4404 0 1695 3955 0 16 0 0 
