###### TEST LOG ####################
# Time taken               : 27.87 s
# Test Parameters: 
# 0.80 0.98 0.00 0.10
# 1.00 1.00 0.00 0.90
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 675
# HQ Tests Done in total   : 6075
# All Tests Done in total  : 6750
# Results Given in total   : 6750
# Locations Moved in total : 3948779
# Total recovered HCW      : 45
# Total HCW                : 72
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9988 10 1 0 0 1 0 0 0 50 0 0 0 
2 9986 10 1 1 0 2 0 0 0 50 0 0 0 
3 9981 13 1 2 0 3 0 0 0 50 0 0 0 
4 9977 11 2 3 0 7 0 0 0 50 0 0 0 
5 9973 11 4 4 0 8 0 0 0 50 0 0 0 
6 9971 12 1 7 0 9 0 0 0 50 0 0 0 
7 9968 13 2 7 0 10 0 0 0 50 0 0 0 
8 9962 14 5 8 0 11 0 0 0 50 0 0 0 
9 9954 18 6 8 0 14 0 0 0 50 0 0 0 
10 9945 18 10 10 0 17 0 0 0 50 0 0 0 
11 9938 19 6 15 0 22 0 0 0 50 0 0 0 
12 9932 19 7 18 0 24 0 0 0 50 0 0 0 
13 9918 21 13 18 0 30 0 0 0 50 0 0 0 
14 9911 22 9 20 1 37 0 0 0 50 0 0 0 
15 9903 19 7 25 2 44 0 0 0 50 0 0 0 
16 9895 21 9 25 2 47 1 0 0 50 0 0 0 
17 9884 23 11 24 2 54 2 0 0 50 0 0 0 
18 9868 30 14 27 2 56 3 0 0 50 0 0 0 
19 9856 31 11 30 3 67 2 0 0 50 0 0 0 
20 9851 27 11 30 2 78 1 0 0 50 0 0 0 
21 9834 34 13 33 1 83 2 0 0 50 0 0 0 
22 9818 38 13 37 1 91 2 0 0 50 0 0 0 
23 9805 39 14 37 3 101 1 0 0 50 0 0 0 
24 9787 38 21 40 3 109 2 0 0 50 0 0 0 
25 9767 46 15 48 4 117 3 0 0 50 0 0 0 
26 9747 55 19 47 3 125 4 0 0 50 0 0 0 
27 9718 61 20 51 4 141 5 0 0 50 0 0 0 
28 9699 62 23 54 5 152 5 0 0 50 0 0 0 
29 9669 67 29 59 2 166 8 0 0 50 0 0 0 
30 9647 61 31 61 1 192 7 0 0 50 0 0 0 
31 9615 63 32 74 4 205 7 0 0 50 0 0 0 
32 9586 67 36 75 3 225 8 0 0 50 0 0 0 
33 9558 68 34 79 2 248 11 0 0 50 0 0 0 
34 9528 70 35 89 4 266 8 0 0 50 0 0 0 
35 9493 70 38 91 4 295 9 0 0 50 0 0 0 
36 9452 82 38 95 7 318 8 0 0 50 0 0 0 
37 9419 81 40 99 5 347 9 0 0 50 0 0 0 
38 9371 95 41 107 6 371 9 0 0 50 0 0 0 
39 9325 107 49 114 5 391 9 0 0 50 0 0 0 
40 9271 122 53 120 7 418 9 0 0 50 0 0 0 
41 9212 141 45 136 6 448 12 0 0 50 0 0 0 
42 9147 165 50 144 5 477 12 0 0 50 0 0 0 
43 9082 176 57 160 2 509 14 0 0 50 0 0 0 
44 9012 179 65 166 6 560 12 0 0 50 0 0 0 
45 8934 192 68 177 8 606 15 0 0 50 0 0 0 
46 8859 203 72 179 9 657 21 0 0 50 0 0 0 
47 8782 197 86 193 11 708 23 0 0 50 0 0 0 
48 8699 225 76 219 7 747 27 0 0 50 0 0 0 
49 8618 238 81 224 10 804 25 0 0 50 0 0 0 
50 8524 226 95 239 14 876 26 0 0 50 0 0 0 
51 8434 227 87 251 19 955 27 0 0 50 0 0 0 
52 8358 229 90 251 15 1027 30 0 0 50 0 0 0 
53 8248 252 103 261 17 1084 35 0 0 50 0 0 0 
54 8147 268 98 282 18 1148 39 0 0 50 0 0 0 
55 8039 280 102 304 17 1219 39 0 0 50 0 0 0 
56 7946 272 115 313 14 1299 41 0 0 50 0 0 0 
57 7839 281 102 336 16 1387 39 0 0 50 0 0 0 
58 7732 284 107 351 17 1469 40 0 0 50 0 0 0 
59 7638 304 109 356 16 1533 44 0 0 50 0 0 0 
60 7542 301 118 366 18 1611 44 0 0 50 0 0 0 
61 7423 310 122 378 15 1706 46 0 0 50 0 0 0 
62 7306 330 122 398 13 1788 43 0 0 50 0 0 0 
63 7199 346 110 404 20 1879 42 0 0 50 0 0 0 
64 7074 352 119 405 20 1982 48 0 0 50 0 0 0 
65 6966 360 118 416 15 2077 48 45 5 0 50 0 0 
66 6841 378 117 432 18 2164 50 90 10 0 99 0 0 
67 6736 389 122 425 13 2260 55 135 15 0 147 0 0 
68 6618 382 118 435 12 2376 59 180 20 0 196 0 0 
69 6505 395 114 427 16 2488 55 225 25 0 244 0 0 
70 6409 390 97 442 12 2591 59 270 30 0 291 0 0 
71 6320 376 95 437 9 2705 58 315 35 0 337 0 0 
72 6237 372 91 438 11 2793 58 360 40 0 384 0 0 
73 6159 345 84 435 16 2904 57 405 45 0 433 0 0 
74 6079 329 99 418 15 3000 60 450 50 0 480 0 0 
75 6024 304 80 409 14 3110 59 495 55 0 528 0 0 
76 5958 306 65 403 14 3197 57 540 60 0 574 0 0 
77 5900 294 69 388 13 3284 52 585 65 0 623 0 0 
78 5856 268 63 368 9 3386 50 630 70 0 669 0 0 
79 5833 231 49 359 10 3470 48 675 75 0 661 0 0 
80 5800 215 47 340 10 3542 46 720 80 0 636 0 0 
81 5774 193 43 316 5 3623 46 765 85 0 609 0 0 
82 5740 180 31 307 6 3689 47 810 90 0 593 0 0 
83 5714 166 28 296 2 3746 48 855 95 0 567 0 0 
84 5693 157 33 260 3 3811 43 900 100 0 536 0 0 
85 5666 157 31 247 6 3856 37 945 105 0 511 0 0 
86 5640 152 26 240 8 3898 36 990 110 0 488 0 0 
87 5612 142 31 229 6 3945 35 1035 115 0 462 0 0 
88 5593 134 27 222 6 3987 31 1080 120 0 440 0 0 
89 5565 133 30 211 6 4023 32 1125 125 0 412 0 0 
90 5545 127 25 206 4 4060 33 1170 130 0 383 0 0 
91 5519 127 25 203 4 4089 33 1215 135 0 358 0 0 
92 5500 117 25 187 6 4132 33 1260 140 0 333 0 0 
93 5480 111 23 179 4 4171 32 1305 145 0 316 0 0 
94 5467 101 23 166 4 4207 32 1350 150 0 303 0 0 
95 5453 101 17 159 6 4234 30 1395 155 0 301 0 0 
96 5435 96 19 151 7 4263 29 1440 160 0 280 0 0 
97 5423 86 16 142 4 4299 30 1485 165 0 261 0 0 
98 5409 73 17 141 3 4330 27 1530 170 0 260 0 0 
99 5403 64 13 136 1 4356 27 1575 175 0 253 0 0 
100 5392 66 11 127 2 4378 24 1620 180 0 237 0 0 
101 5379 62 10 119 2 4406 22 1665 185 0 228 0 0 
102 5370 58 5 117 2 4425 23 1710 190 0 215 0 0 
103 5356 63 9 106 0 4444 22 1755 195 0 208 0 0 
104 5346 62 6 105 2 4459 20 1800 200 0 199 0 0 
105 5335 58 9 100 2 4476 20 1845 205 0 183 0 0 
106 5331 54 7 94 0 4494 20 1890 210 0 173 0 0 
107 5328 48 3 92 1 4512 16 1935 215 0 160 0 0 
108 5322 43 4 88 0 4530 13 1980 220 0 156 0 0 
109 5318 38 6 78 0 4547 13 2025 225 0 141 0 0 
110 5313 39 5 70 0 4563 10 2070 230 0 137 0 0 
111 5307 41 6 62 0 4574 10 2115 235 0 131 0 0 
112 5303 31 4 55 0 4598 9 2160 240 0 123 0 0 
113 5300 28 5 49 0 4611 7 2205 245 0 115 0 0 
114 5298 23 4 44 0 4625 6 2250 250 0 111 0 0 
115 5297 22 4 40 0 4632 5 2295 255 0 96 0 0 
116 5297 17 4 37 0 4640 5 2340 260 0 86 0 0 
117 5296 14 5 33 0 4648 4 2385 265 0 76 0 0 
118 5295 14 2 34 1 4650 4 2430 270 0 67 0 0 
119 5294 13 3 32 1 4653 4 2475 275 0 61 0 0 
120 5291 13 2 31 2 4657 4 2520 280 0 54 0 0 
121 5291 8 1 29 1 4666 4 2565 285 0 52 0 0 
122 5291 7 1 28 0 4669 4 2610 290 0 43 0 0 
123 5290 7 1 29 0 4669 4 2655 295 0 42 0 0 
124 5289 4 1 29 0 4673 4 2700 300 0 39 0 0 
125 5289 3 1 28 0 4675 4 2745 305 0 38 0 0 
126 5287 4 2 27 0 4676 4 2790 310 0 35 0 0 
127 5286 4 3 23 0 4680 4 2835 315 0 33 0 0 
128 5285 3 2 25 0 4681 4 2880 320 0 34 0 0 
129 5285 2 0 26 0 4684 3 2925 325 0 36 0 0 
130 5282 4 0 22 0 4689 3 2970 330 0 34 0 0 
131 5281 4 0 19 0 4693 3 3015 335 0 33 0 0 
132 5281 3 0 19 0 4694 3 3060 340 0 32 0 0 
133 5281 3 0 16 0 4698 2 3105 345 0 31 0 0 
134 5280 2 0 13 0 4703 2 3150 350 0 27 0 0 
135 5280 1 0 11 0 4706 2 3195 355 0 22 0 0 
136 5278 1 1 10 0 4709 1 3240 360 0 26 0 0 
137 5277 2 0 10 0 4710 1 3285 365 0 21 0 0 
138 5277 1 0 8 0 4713 1 3330 370 0 19 0 0 
139 5277 1 0 8 0 4713 1 3375 375 0 17 0 0 
140 5277 1 0 8 0 4713 1 3420 380 0 17 0 0 
141 5276 2 0 7 0 4714 1 3465 385 0 16 0 0 
142 5275 2 0 6 0 4716 1 3510 390 0 12 0 0 
143 5275 2 0 6 0 4716 1 3555 395 0 9 0 0 
144 5275 2 0 3 0 4719 1 3600 400 0 10 0 0 
145 5274 2 1 2 0 4720 1 3645 405 0 9 0 0 
146 5274 2 1 2 0 4720 1 3690 410 0 9 0 0 
147 5274 2 0 3 0 4720 1 3735 415 0 9 0 0 
148 5274 1 0 2 0 4722 1 3780 420 0 9 0 0 
149 5274 0 0 1 0 4724 1 3825 425 0 8 0 0 
150 5274 0 0 1 0 4724 1 3870 430 0 4 0 0 
151 5274 0 0 1 0 4725 0 3915 435 0 3 0 0 
152 5274 0 0 1 0 4725 0 3960 440 0 2 0 0 
153 5274 0 0 1 0 4725 0 4005 445 0 3 0 0 
154 5274 0 0 1 0 4725 0 4050 450 0 3 0 0 
155 5274 0 0 1 0 4725 0 4095 455 0 4 0 0 
156 5274 0 0 1 0 4725 0 4140 460 0 4 0 0 
157 5274 0 0 1 0 4725 0 4185 465 0 4 0 0 
158 5274 0 0 1 0 4725 0 4230 470 0 4 0 0 
159 5274 0 0 1 0 4725 0 4275 475 0 4 0 0 
160 5274 0 0 1 0 4725 0 4320 480 0 4 0 0 
161 5274 0 0 1 0 4725 0 4365 485 0 3 0 0 
162 5274 0 0 1 0 4725 0 4410 490 0 4 0 0 
163 5274 0 0 1 0 4725 0 4455 495 0 4 0 0 
164 5274 0 0 0 0 4726 0 4500 500 0 5 0 0 
165 5274 0 0 0 0 4726 0 4545 505 0 6 0 0 
166 5274 0 0 0 0 4726 0 4590 510 0 7 0 0 
167 5274 0 0 0 0 4726 0 4635 515 0 6 0 0 
168 5274 0 0 0 0 4726 0 4680 520 0 6 0 0 
169 5274 0 0 0 0 4726 0 4725 525 0 5 0 0 
170 5274 0 0 0 0 4726 0 4770 530 0 5 0 0 
171 5274 0 0 0 0 4726 0 4815 535 0 6 0 0 
172 5274 0 0 0 0 4726 0 4860 540 0 5 0 0 
173 5274 0 0 0 0 4726 0 4905 545 0 5 0 0 
174 5274 0 0 0 0 4726 0 4950 550 0 5 0 0 
175 5274 0 0 0 0 4726 0 4995 555 0 5 0 0 
176 5274 0 0 0 0 4726 0 5040 560 0 4 0 0 
177 5274 0 0 0 0 4726 0 5085 565 0 4 0 0 
178 5274 0 0 0 0 4726 0 5130 570 0 3 0 0 
179 5274 0 0 0 0 4726 0 5175 575 0 2 0 0 
180 5274 0 0 0 0 4726 0 5220 580 0 1 0 0 
181 5274 0 0 0 0 4726 0 5265 585 0 2 0 0 
182 5274 0 0 0 0 4726 0 5310 590 0 3 0 0 
183 5274 0 0 0 0 4726 0 5355 595 0 3 0 0 
184 5274 0 0 0 0 4726 0 5400 600 0 4 0 0 
185 5274 0 0 0 0 4726 0 5445 605 0 3 0 0 
186 5274 0 0 0 0 4726 0 5490 610 0 3 0 0 
187 5274 0 0 0 0 4726 0 5535 615 0 3 0 0 
188 5274 0 0 0 0 4726 0 5580 620 0 3 0 0 
189 5274 0 0 0 0 4726 0 5625 625 0 3 0 0 
190 5274 0 0 0 0 4726 0 5670 630 0 3 0 0 
191 5274 0 0 0 0 4726 0 5715 635 0 3 0 0 
192 5274 0 0 0 0 4726 0 5760 640 0 3 0 0 
193 5274 0 0 0 0 4726 0 5805 645 0 3 0 0 
194 5274 0 0 0 0 4726 0 5850 650 0 4 0 0 
195 5274 0 0 0 0 4726 0 5895 655 0 3 0 0 
196 5274 0 0 0 0 4726 0 5940 660 0 2 0 0 
197 5274 0 0 0 0 4726 0 5985 665 0 2 0 0 
198 5274 0 0 0 0 4726 0 6030 670 0 1 0 0 
199 5274 0 0 0 0 4726 0 6075 675 0 1 0 0 
