###### TEST LOG ####################
# Time taken               : 25.29 s
# Test Parameters: 
# 0.85 0.98 0.00 0.20
# 1.00 1.00 0.00 0.80
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 266
# HQ Tests Done in total   : 1064
# All Tests Done in total  : 1330
# Results Given in total   : 1330
# Locations Moved in total : 3964343
# Total recovered HCW      : 62
# Total HCW                : 80
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9988 11 0 0 0 1 0 0 0 10 0 0 0 
2 9986 8 2 0 0 4 0 0 0 10 0 0 0 
3 9981 9 4 1 0 5 0 0 0 10 0 0 0 
4 9979 9 3 1 1 7 0 0 0 10 0 0 0 
5 9976 10 4 1 1 8 0 0 0 10 0 0 0 
6 9969 14 2 3 2 10 0 0 0 10 0 0 0 
7 9967 14 2 3 1 12 1 0 0 10 0 0 0 
8 9960 14 6 6 1 12 1 0 0 10 0 0 0 
9 9951 16 8 7 1 16 1 0 0 10 0 0 0 
10 9946 18 6 10 2 17 1 0 0 10 0 0 0 
11 9939 16 6 15 0 22 2 0 0 10 0 0 0 
12 9934 17 4 18 0 26 1 0 0 10 0 0 0 
13 9927 17 5 20 0 30 1 0 0 10 0 0 0 
14 9919 20 7 20 0 33 1 0 0 10 0 0 0 
15 9910 20 12 21 0 36 1 0 0 10 0 0 0 
16 9895 22 15 24 1 41 2 0 0 10 0 0 0 
17 9882 23 14 29 1 49 2 0 0 10 0 0 0 
18 9868 30 19 30 1 50 2 0 0 10 0 0 0 
19 9850 30 23 35 3 56 3 0 0 10 0 0 0 
20 9836 31 17 42 3 68 3 0 0 10 0 0 0 
21 9826 33 16 40 5 77 3 0 0 10 0 0 0 
22 9807 35 20 48 0 84 6 0 0 10 0 0 0 
23 9781 45 27 46 1 94 6 0 0 10 0 0 0 
24 9758 54 25 50 1 105 7 0 0 10 0 0 0 
25 9731 57 32 48 1 124 7 0 0 10 0 0 0 
26 9702 56 36 58 3 138 7 0 0 10 0 0 0 
27 9679 61 29 65 6 152 8 0 0 10 0 0 0 
28 9654 66 31 68 3 166 12 0 0 10 0 0 0 
29 9623 77 24 73 5 186 12 0 0 10 0 0 0 
30 9585 87 31 76 3 208 10 0 0 10 0 0 0 
31 9542 92 38 86 5 231 6 0 0 10 0 0 0 
32 9500 104 28 100 6 256 6 0 0 10 0 0 0 
33 9465 105 33 95 5 288 9 0 0 10 0 0 0 
34 9430 111 33 96 7 314 9 0 0 10 0 0 0 
35 9398 112 39 98 3 338 12 0 0 10 0 0 0 
36 9355 123 35 104 4 364 15 0 0 10 0 0 0 
37 9316 128 31 102 5 407 11 0 0 10 0 0 0 
38 9280 121 33 104 5 444 13 0 0 10 0 0 0 
39 9235 128 33 112 5 472 15 0 0 10 0 0 0 
40 9195 130 36 119 5 498 17 0 0 10 0 0 0 
41 9146 132 44 123 6 529 20 0 0 10 0 0 0 
42 9090 149 34 136 4 564 23 0 0 10 0 0 0 
43 9038 153 44 131 8 603 23 0 0 10 0 0 0 
44 8988 153 49 136 4 647 23 0 0 10 0 0 0 
45 8925 172 51 141 4 683 24 0 0 10 0 0 0 
46 8861 191 47 163 5 709 24 0 0 10 0 0 0 
47 8790 198 57 161 8 762 24 0 0 10 0 0 0 
48 8722 200 61 177 9 809 22 0 0 10 0 0 0 
49 8654 190 63 181 13 877 22 0 0 10 0 0 0 
50 8578 207 64 182 14 932 23 0 0 10 0 0 0 
51 8505 201 66 194 10 996 28 0 0 10 0 0 0 
52 8429 202 69 203 5 1061 31 0 0 10 0 0 0 
53 8361 206 69 204 8 1121 31 0 0 10 0 0 0 
54 8302 209 58 213 8 1181 29 0 0 10 0 0 0 
55 8221 216 68 222 11 1241 21 0 0 10 0 0 0 
56 8146 225 79 224 8 1295 23 0 0 10 0 0 0 
57 8073 243 78 222 12 1349 23 0 0 10 0 0 0 
58 7986 261 78 229 16 1405 25 0 0 10 0 0 0 
59 7897 278 76 231 20 1474 24 0 0 10 0 0 0 
60 7816 278 74 242 17 1544 29 0 0 10 0 0 0 
61 7733 273 79 243 13 1628 31 0 0 10 0 0 0 
62 7648 278 86 256 15 1684 33 0 0 10 0 0 0 
63 7545 278 99 265 21 1766 26 0 0 10 0 0 0 
64 7455 275 102 274 21 1845 28 0 0 10 0 0 0 
65 7371 260 109 282 24 1924 30 0 0 10 0 0 0 
66 7269 281 97 303 23 1991 36 0 0 10 0 0 0 
67 7162 306 90 315 22 2067 38 8 2 0 10 0 0 
68 7075 302 85 318 22 2156 42 16 4 0 19 0 0 
69 6988 294 81 319 20 2247 51 24 6 0 28 0 0 
70 6893 280 92 319 18 2344 54 32 8 0 38 0 0 
71 6801 289 86 326 12 2429 57 40 10 0 47 0 0 
72 6728 294 85 333 9 2495 56 48 12 0 56 0 0 
73 6652 293 77 335 7 2581 55 56 14 0 66 0 0 
74 6568 301 85 329 8 2657 52 64 16 0 76 0 0 
75 6490 302 80 327 10 2742 49 72 18 0 86 0 0 
76 6398 302 93 339 7 2810 51 80 20 0 96 0 0 
77 6304 301 96 341 12 2894 52 88 22 0 106 0 0 
78 6220 311 86 338 13 2979 53 96 24 0 115 0 0 
79 6155 298 78 343 8 3066 52 104 26 0 124 0 0 
80 6098 294 77 327 8 3139 57 112 28 0 134 0 0 
81 6037 285 72 325 11 3215 55 120 30 0 134 0 0 
