###### TEST LOG ####################
# Time taken               : 26.05 s
# Test Parameters: 
# 0.50 0.98 0.00 1.00
# 1.00 1.00 0.00 0.00
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 6500
# HQ Tests Done in total   : 0
# All Tests Done in total  : 6500
# Results Given in total   : 6500
# Locations Moved in total : 3953985
# Total recovered HCW      : 65
# Total HCW                : 82
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9985 12 1 1 0 1 0 0 0 50 0 0 0 
2 9984 12 2 1 0 1 0 0 0 50 0 0 0 
3 9980 13 3 2 0 2 0 0 0 50 0 0 0 
4 9976 14 4 3 0 3 0 0 0 50 0 0 0 
5 9972 14 7 3 0 4 0 0 0 50 0 0 0 
6 9967 15 8 2 1 7 0 0 0 50 0 0 0 
7 9964 16 8 4 0 7 1 0 0 50 0 0 0 
8 9957 17 7 10 0 8 1 0 0 50 0 0 0 
9 9954 17 6 13 0 10 0 0 0 50 0 0 0 
10 9946 20 8 13 1 12 0 0 0 50 0 0 0 
11 9938 19 8 18 1 16 0 0 0 50 0 0 0 
12 9920 27 8 21 1 23 0 0 0 50 0 0 0 
13 9911 22 9 24 2 31 1 0 0 50 0 0 0 
14 9897 27 10 24 3 37 2 0 0 50 0 0 0 
15 9891 26 7 27 4 43 2 0 0 50 0 0 0 
16 9879 32 8 27 1 48 5 0 0 50 0 0 0 
17 9870 31 12 25 2 55 5 0 0 50 0 0 0 
18 9855 31 12 31 3 62 6 0 0 50 0 0 0 
19 9844 30 10 30 5 76 5 0 0 50 0 0 0 
20 9826 39 12 30 3 85 5 0 0 50 0 0 0 
21 9811 44 10 37 3 90 5 0 0 50 0 0 0 
22 9795 48 10 37 3 101 6 0 0 50 0 0 0 
23 9781 49 16 37 3 109 5 0 0 50 0 0 0 
24 9769 48 14 39 3 120 7 0 0 50 0 0 0 
25 9746 47 17 44 4 135 7 0 0 50 0 0 0 
26 9723 52 18 53 2 143 9 0 0 50 0 0 0 
27 9699 55 23 54 3 156 10 0 0 50 0 0 0 
28 9679 59 23 58 4 167 10 0 0 50 0 0 0 
29 9659 63 20 55 5 188 10 0 0 50 0 0 0 
30 9631 71 23 53 4 208 10 0 0 50 0 0 0 
31 9607 76 28 55 3 219 12 0 0 50 0 0 0 
32 9584 73 29 54 1 247 12 0 0 50 0 0 0 
33 9564 68 33 54 2 267 12 0 0 50 0 0 0 
34 9544 68 28 62 1 287 10 0 0 50 0 0 0 
35 9515 78 27 69 1 300 10 0 0 50 0 0 0 
36 9487 84 29 71 4 315 10 0 0 50 0 0 0 
37 9452 91 29 70 3 343 12 0 0 50 0 0 0 
38 9429 93 29 71 1 364 13 0 0 50 0 0 0 
39 9394 103 26 76 4 385 12 0 0 50 0 0 0 
40 9367 99 29 76 8 408 13 0 0 50 0 0 0 
41 9342 99 26 84 7 428 14 0 0 50 0 0 0 
