###### TEST LOG ####################
# Time taken               : 24.30 s
# Test Parameters: 
# 0.85 0.98 0.00 0.40
# 1.00 1.00 0.00 0.60
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 524
# HQ Tests Done in total   : 786
# All Tests Done in total  : 1310
# Results Given in total   : 1310
# Locations Moved in total : 3963708
# Total recovered HCW      : 67
# Total HCW                : 76
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9989 9 1 0 0 1 0 0 0 10 0 0 0 
2 9984 12 2 0 0 2 0 0 0 10 0 0 0 
3 9979 13 4 0 0 4 0 0 0 10 0 0 0 
4 9973 13 8 1 0 5 0 0 0 10 0 0 0 
5 9968 11 6 6 2 7 0 0 0 10 0 0 0 
6 9956 13 9 11 3 8 0 0 0 10 0 0 0 
7 9941 16 13 12 2 16 0 0 0 10 0 0 0 
8 9937 14 9 16 3 21 0 0 0 10 0 0 0 
9 9931 16 4 17 2 29 1 0 0 10 0 0 0 
10 9924 16 5 18 1 35 1 0 0 10 0 0 0 
11 9913 20 5 20 0 40 2 0 0 10 0 0 0 
12 9907 21 6 19 0 44 3 0 0 10 0 0 0 
13 9898 20 7 24 1 47 3 0 0 10 0 0 0 
14 9890 18 7 25 1 57 2 0 0 10 0 0 0 
15 9877 22 7 23 3 66 2 0 0 10 0 0 0 
16 9870 20 8 27 2 70 3 0 0 10 0 0 0 
17 9863 21 8 26 1 77 4 0 0 10 0 0 0 
18 9846 29 11 28 1 82 3 0 0 10 0 0 0 
19 9834 32 13 30 2 86 3 0 0 10 0 0 0 
20 9824 35 12 30 2 93 4 0 0 10 0 0 0 
21 9810 41 11 30 5 99 4 0 0 10 0 0 0 
22 9791 43 15 34 4 108 5 0 0 10 0 0 0 
23 9767 45 21 37 7 119 4 0 0 10 0 0 0 
24 9747 47 16 45 5 131 9 0 0 10 0 0 0 
25 9730 50 14 48 4 147 7 0 0 10 0 0 0 
26 9716 51 13 47 3 162 8 0 0 10 0 0 0 
27 9703 47 16 43 1 180 10 0 0 10 0 0 0 
28 9691 47 12 46 1 193 10 0 0 10 0 0 0 
29 9670 50 17 46 2 206 9 0 0 10 0 0 0 
30 9648 56 17 50 1 218 10 0 0 10 0 0 0 
31 9628 58 16 48 3 236 11 0 0 10 0 0 0 
32 9613 55 14 54 3 250 11 0 0 10 0 0 0 
33 9591 60 14 58 1 264 12 0 0 10 0 0 0 
34 9572 65 17 55 1 279 11 0 0 10 0 0 0 
35 9550 68 22 53 3 293 11 0 0 10 0 0 0 
36 9517 80 24 58 2 308 11 0 0 10 0 0 0 
37 9471 87 33 65 3 329 12 0 0 10 0 0 0 
38 9442 84 26 78 2 355 13 0 0 10 0 0 0 
39 9412 86 28 81 2 377 14 0 0 10 0 0 0 
40 9387 89 26 83 3 399 13 0 0 10 0 0 0 
41 9351 98 31 85 2 418 15 0 0 10 0 0 0 
42 9305 110 42 88 2 440 13 0 0 10 0 0 0 
43 9258 121 48 96 4 461 12 0 0 10 0 0 0 
44 9195 133 55 109 8 489 11 0 0 10 0 0 0 
45 9136 142 55 128 9 514 16 0 0 10 0 0 0 
46 9075 147 65 133 12 550 18 0 0 10 0 0 0 
47 9020 162 55 150 19 577 17 0 0 10 0 0 0 
48 8956 165 67 155 14 622 21 0 0 10 0 0 0 
49 8883 173 74 168 15 667 20 0 0 10 0 0 0 
50 8818 181 66 181 13 716 25 0 0 10 0 0 0 
51 8758 192 55 207 12 747 29 0 0 10 0 0 0 
52 8674 194 76 211 8 808 29 0 0 10 0 0 0 
53 8588 206 79 229 12 858 28 0 0 10 0 0 0 
54 8503 210 90 238 9 921 29 0 0 10 0 0 0 
55 8427 221 77 253 10 976 36 0 0 10 0 0 0 
56 8349 227 88 256 9 1035 36 0 0 10 0 0 0 
57 8276 224 89 266 8 1099 38 0 0 10 0 0 0 
58 8182 249 92 277 11 1153 36 0 0 10 0 0 0 
59 8087 265 105 292 17 1197 37 0 0 10 0 0 0 
60 7977 282 112 301 20 1271 37 0 0 10 0 0 0 
61 7880 292 104 310 18 1353 43 0 0 10 0 0 0 
62 7783 302 94 323 16 1436 46 0 0 10 0 0 0 
63 7683 308 104 327 12 1517 49 0 0 10 0 0 0 
64 7578 325 110 338 16 1585 48 0 0 10 0 0 0 
65 7462 343 108 344 19 1680 44 0 0 10 0 0 0 
66 7351 350 103 357 20 1773 46 0 0 10 0 0 0 
67 7241 342 101 381 15 1866 54 0 0 10 0 0 0 
68 7137 352 107 387 13 1952 52 0 0 10 0 0 0 
69 7025 350 103 400 16 2062 44 6 4 0 10 0 0 
70 6931 363 90 398 11 2163 44 12 8 0 17 0 0 
71 6809 372 95 400 18 2262 44 18 12 0 27 0 0 
72 6689 371 111 399 18 2366 46 24 16 0 34 0 0 
73 6593 372 108 406 16 2460 45 30 20 0 42 0 0 
74 6484 373 110 413 18 2558 44 36 24 0 52 0 0 
75 6371 368 107 423 22 2666 43 42 28 0 62 0 0 
76 6286 354 97 435 16 2765 47 48 32 0 71 0 0 
77 6193 340 98 441 14 2866 48 54 36 0 81 0 0 
78 6111 330 93 446 17 2955 48 60 40 0 90 0 0 
79 6014 346 91 440 14 3042 53 66 44 0 99 0 0 
80 5919 332 90 433 16 3158 52 72 48 0 107 0 0 
81 5826 333 84 429 14 3257 57 78 52 0 116 0 0 
82 5738 333 88 430 12 3345 54 84 56 0 126 0 0 
83 5636 328 89 434 15 3445 53 90 60 0 125 0 0 
84 5557 331 75 429 16 3540 52 96 64 0 127 0 0 
85 5485 324 71 413 15 3637 55 102 68 0 128 0 0 
86 5421 301 69 399 19 3744 47 108 72 0 131 0 0 
87 5342 303 72 394 13 3826 50 114 76 0 130 0 0 
88 5266 296 73 379 11 3928 47 120 80 0 130 0 0 
89 5201 286 66 374 12 4015 46 126 84 0 130 0 0 
90 5149 277 62 353 9 4102 48 132 88 0 129 0 0 
91 5090 260 68 344 9 4181 48 138 92 0 129 0 0 
92 5033 265 57 330 7 4256 52 144 96 0 130 0 0 
93 4969 261 59 324 9 4327 51 150 100 0 130 0 0 
94 4917 249 55 318 5 4403 53 156 104 0 132 0 0 
95 4860 246 60 310 6 4470 48 162 108 0 132 0 0 
96 4806 248 57 309 8 4528 44 168 112 0 131 0 0 
97 4746 246 55 306 11 4593 43 174 116 0 131 0 0 
98 4704 232 57 297 11 4657 42 180 120 0 131 0 0 
99 4671 215 43 297 6 4724 44 186 124 0 130 0 0 
100 4632 204 37 287 8 4792 40 192 128 0 130 0 0 
101 4576 206 44 276 13 4847 38 198 132 0 132 0 0 
102 4529 203 43 265 12 4910 38 204 136 0 132 0 0 
103 4483 206 47 259 7 4962 36 210 140 0 133 0 0 
104 4450 200 43 256 6 5009 36 216 144 0 134 0 0 
105 4418 175 46 237 6 5081 37 222 148 0 131 0 0 
106 4367 173 42 240 8 5133 37 228 152 0 131 0 0 
107 4318 170 42 244 7 5180 39 234 156 0 130 0 0 
108 4289 166 32 236 9 5232 36 240 160 0 128 0 0 
109 4259 157 31 226 10 5280 37 246 164 0 127 0 0 
110 4219 161 36 209 10 5328 37 252 168 0 125 0 0 
111 4193 153 33 206 10 5366 39 258 172 0 126 0 0 
112 4158 137 39 201 9 5419 37 264 176 0 125 0 0 
113 4133 133 36 202 7 5457 32 270 180 0 126 0 0 
114 4110 134 33 192 5 5493 33 276 184 0 126 0 0 
115 4095 121 30 180 6 5537 31 282 188 0 125 0 0 
116 4077 117 27 171 5 5571 32 288 192 0 125 0 0 
117 4060 112 20 167 4 5606 31 294 196 0 124 0 0 
118 4048 98 23 158 2 5639 32 300 200 0 124 0 0 
119 4034 101 19 152 1 5661 32 306 204 0 127 0 0 
120 4011 107 23 148 1 5677 33 312 208 0 127 0 0 
121 3998 93 18 145 2 5714 30 318 212 0 126 0 0 
122 3984 92 16 141 1 5737 29 324 216 0 126 0 0 
123 3968 88 18 131 2 5767 26 330 220 0 128 0 0 
124 3952 81 17 127 2 5795 26 336 224 0 130 0 0 
125 3933 75 20 126 2 5819 25 342 228 0 128 0 0 
126 3916 73 16 123 1 5850 21 348 232 0 127 0 0 
127 3903 70 11 119 2 5875 20 354 236 0 127 0 0 
128 3891 70 10 109 3 5897 20 360 240 0 126 0 0 
129 3882 67 11 101 1 5920 18 366 244 0 127 0 0 
130 3875 56 9 94 1 5948 17 372 248 0 126 0 0 
131 3868 54 7 91 1 5963 16 378 252 0 127 0 0 
132 3859 55 6 83 2 5980 15 384 256 0 126 0 0 
133 3851 51 9 75 2 5998 14 390 260 0 126 0 0 
134 3848 48 7 68 2 6016 11 396 264 0 126 0 0 
135 3842 45 2 65 1 6032 13 402 268 0 126 0 0 
136 3841 37 2 59 1 6049 11 408 272 0 119 0 0 
137 3839 34 3 52 1 6064 7 414 276 0 112 0 0 
138 3837 26 4 49 1 6077 6 420 280 0 106 0 0 
139 3837 26 3 40 1 6087 6 426 284 0 101 0 0 
140 3833 27 4 39 1 6091 5 432 288 0 95 0 0 
141 3831 22 4 38 1 6100 4 438 292 0 86 0 0 
142 3829 21 4 38 1 6103 4 444 296 0 83 0 0 
143 3829 20 3 36 0 6106 6 450 300 0 76 0 0 
144 3828 19 2 32 0 6113 6 456 304 0 68 0 0 
145 3826 17 2 29 0 6121 5 462 308 0 61 0 0 
146 3823 15 3 26 0 6129 4 468 312 0 55 0 0 
147 3821 14 3 25 0 6133 4 474 316 0 47 0 0 
148 3821 13 2 23 0 6137 4 480 320 0 40 0 0 
149 3821 12 2 23 0 6138 4 486 324 0 33 0 0 
150 3820 10 1 22 0 6144 3 492 328 0 35 0 0 
151 3818 7 1 22 0 6150 2 498 332 0 37 0 0 
152 3817 7 2 20 0 6152 2 504 336 0 33 0 0 
153 3817 6 0 18 1 6156 2 510 340 0 34 0 0 
154 3817 5 0 17 1 6158 2 516 344 0 33 0 0 
155 3816 6 0 14 1 6162 1 522 348 0 33 0 0 
156 3816 5 0 14 0 6163 2 528 352 0 27 0 0 
157 3816 4 0 13 0 6165 2 534 356 0 27 0 0 
158 3815 2 1 12 0 6168 2 540 360 0 27 0 0 
159 3815 1 1 11 0 6170 2 546 364 0 25 0 0 
160 3815 0 1 10 0 6173 1 552 368 0 23 0 0 
161 3815 0 1 9 0 6174 1 558 372 0 21 0 0 
162 3815 0 0 7 1 6176 1 564 376 0 20 0 0 
163 3815 0 0 7 1 6176 1 570 380 0 19 0 0 
164 3815 0 0 7 0 6177 1 576 384 0 15 0 0 
165 3815 0 0 6 0 6178 1 582 388 0 13 0 0 
166 3815 0 0 5 0 6179 1 588 392 0 13 0 0 
167 3815 0 0 3 0 6181 1 594 396 0 11 0 0 
168 3815 0 0 3 0 6181 1 600 400 0 12 0 0 
169 3815 0 0 3 0 6181 1 606 404 0 11 0 0 
170 3815 0 0 3 0 6182 0 612 408 0 10 0 0 
171 3815 0 0 3 0 6182 0 618 412 0 7 0 0 
172 3815 0 0 2 0 6183 0 624 416 0 6 0 0 
173 3815 0 0 2 0 6183 0 630 420 0 6 0 0 
174 3815 0 0 2 0 6183 0 636 424 0 5 0 0 
175 3815 0 0 2 0 6183 0 642 428 0 6 0 0 
176 3815 0 0 2 0 6183 0 648 432 0 5 0 0 
177 3815 0 0 2 0 6183 0 654 436 0 5 0 0 
178 3815 0 0 2 0 6183 0 660 440 0 5 0 0 
179 3815 0 0 2 0 6183 0 666 444 0 4 0 0 
180 3815 0 0 2 0 6183 0 672 448 0 4 0 0 
181 3815 0 0 2 0 6183 0 678 452 0 3 0 0 
182 3815 0 0 2 0 6183 0 684 456 0 1 0 0 
183 3815 0 0 2 0 6183 0 690 460 0 2 0 0 
184 3815 0 0 2 0 6183 0 696 464 0 2 0 0 
185 3815 0 0 2 0 6183 0 702 468 0 2 0 0 
186 3815 0 0 2 0 6183 0 708 472 0 2 0 0 
187 3815 0 0 2 0 6183 0 714 476 0 2 0 0 
188 3815 0 0 2 0 6183 0 720 480 0 2 0 0 
189 3815 0 0 2 0 6183 0 726 484 0 1 0 0 
190 3815 0 0 2 0 6183 0 732 488 0 2 0 0 
191 3815 0 0 2 0 6183 0 738 492 0 2 0 0 
192 3815 0 0 2 0 6183 0 744 496 0 2 0 0 
193 3815 0 0 2 0 6183 0 750 500 0 3 0 0 
194 3815 0 0 2 0 6183 0 756 504 0 3 0 0 
195 3815 0 0 1 0 6184 0 762 508 0 3 0 0 
196 3815 0 0 1 0 6184 0 768 512 0 3 0 0 
197 3815 0 0 1 0 6184 0 774 516 0 2 0 0 
198 3815 0 0 1 0 6184 0 780 520 0 3 0 0 
199 3815 0 0 1 0 6184 0 786 524 0 3 0 0 
