###### TEST LOG ####################
# Time taken               : 26.11 s
# Test Parameters: 
# 0.80 0.98 0.00 0.20
# 1.00 1.00 0.00 0.80
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 1020
# HQ Tests Done in total   : 4080
# All Tests Done in total  : 5100
# Results Given in total   : 5100
# Locations Moved in total : 3949733
# Total recovered HCW      : 57
# Total HCW                : 75
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9989 9 0 0 0 2 0 0 0 50 0 0 0 
2 9988 10 0 0 0 2 0 0 0 50 0 0 0 
3 9985 10 0 1 0 4 0 0 0 50 0 0 0 
4 9984 8 0 1 0 7 0 0 0 50 0 0 0 
5 9982 7 1 2 0 8 0 0 0 50 0 0 0 
6 9982 7 1 1 0 9 0 0 0 50 0 0 0 
7 9982 6 0 1 0 11 0 0 0 50 0 0 0 
8 9981 6 1 0 0 12 0 0 0 50 0 0 0 
9 9979 5 3 0 0 13 0 0 0 50 0 0 0 
10 9978 4 2 2 0 14 0 0 0 50 0 0 0 
11 9978 2 0 4 0 16 0 0 0 50 0 0 0 
12 9976 4 0 4 0 16 0 0 0 50 0 0 0 
13 9976 4 0 3 0 17 0 0 0 50 0 0 0 
14 9971 4 2 4 0 19 0 0 0 50 0 0 0 
15 9968 6 1 3 1 21 0 0 0 50 0 0 0 
16 9967 6 1 3 1 22 0 0 0 50 0 0 0 
17 9966 7 1 2 0 23 1 0 0 50 0 0 0 
18 9966 4 1 2 0 27 0 0 0 50 0 0 0 
19 9965 4 2 1 0 28 0 0 0 50 0 0 0 
20 9962 4 4 1 0 29 0 0 0 50 0 0 0 
21 9961 5 3 1 0 30 0 0 0 50 0 0 0 
22 9961 4 3 1 0 31 0 0 0 50 0 0 0 
23 9959 5 2 3 0 31 0 0 0 50 0 0 0 
24 9956 6 2 3 0 33 0 0 0 50 0 0 0 
25 9955 7 2 2 0 34 0 0 0 50 0 0 0 
26 9954 6 2 2 0 36 0 0 0 50 0 0 0 
27 9951 7 2 3 0 37 0 0 0 50 0 0 0 
