###### TEST LOG ####################
# Time taken               : 28.81 s
# Test Parameters: 
# 0.65 0.98 0.00 0.90
# 1.00 1.00 0.00 0.10
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 5694
# HQ Tests Done in total   : 556
# All Tests Done in total  : 6250
# Results Given in total   : 6250
# Locations Moved in total : 3947218
# Total recovered HCW      : 64
# Total HCW                : 83
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9982 12 2 2 0 2 0 0 0 50 0 0 0 
2 9981 11 1 3 0 4 0 0 0 50 0 0 0 
3 9979 11 0 5 0 5 0 0 0 50 0 0 0 
4 9977 11 1 5 0 6 0 0 0 50 0 0 0 
5 9975 6 1 6 1 11 0 0 0 50 0 0 0 
6 9968 6 5 8 0 12 1 0 0 50 0 0 0 
7 9967 6 3 9 1 13 1 0 0 50 0 0 0 
8 9965 7 3 9 1 15 0 0 0 50 0 0 0 
9 9962 9 4 7 1 17 0 0 0 50 0 0 0 
10 9959 9 4 8 1 19 0 0 0 50 0 0 0 
11 9949 13 8 8 1 21 0 0 0 50 0 0 0 
12 9946 13 10 6 0 24 1 0 0 50 0 0 0 
13 9937 18 6 9 2 26 2 0 0 50 0 0 0 
14 9932 19 6 11 0 29 3 0 0 50 0 0 0 
15 9931 16 3 14 1 32 3 0 0 50 0 0 0 
16 9922 20 4 15 1 36 2 0 0 50 0 0 0 
