###### TEST LOG ####################
# Time taken               : 29.96 s
# Test Parameters: 
# 0.95 0.98 0.00 0.80
# 1.00 1.00 0.00 0.20
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 4466
# HQ Tests Done in total   : 1034
# All Tests Done in total  : 5500
# Results Given in total   : 5500
# Locations Moved in total : 3951823
# Total recovered HCW      : 45
# Total HCW                : 72
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9989 8 1 0 0 2 0 0 0 50 0 0 0 
2 9988 7 2 0 0 3 0 0 0 50 0 0 0 
3 9988 6 2 0 0 4 0 0 0 50 0 0 0 
4 9988 5 0 1 0 6 0 0 0 50 0 0 0 
5 9987 6 0 1 0 6 0 0 0 50 0 0 0 
6 9987 6 0 1 0 6 0 0 0 50 0 0 0 
7 9984 6 2 1 0 7 0 0 0 50 0 0 0 
8 9981 5 4 1 1 8 0 0 0 50 0 0 0 
9 9979 5 3 3 1 9 0 0 0 50 0 0 0 
10 9976 7 3 3 1 10 0 0 0 50 0 0 0 
11 9972 10 0 5 1 11 1 0 0 50 0 0 0 
12 9970 11 1 4 0 14 0 0 0 50 0 0 0 
13 9970 10 1 4 0 15 0 0 0 50 0 0 0 
14 9964 13 2 4 1 16 0 0 0 50 0 0 0 
15 9962 13 2 4 1 18 0 0 0 50 0 0 0 
16 9962 12 1 4 0 21 0 0 0 50 0 0 0 
17 9959 12 2 4 0 23 0 0 0 50 0 0 0 
18 9956 12 4 4 0 24 0 0 0 50 0 0 0 
19 9955 13 3 5 0 24 0 0 0 50 0 0 0 
20 9953 14 3 4 0 26 0 0 0 50 0 0 0 
21 9952 13 1 7 0 27 0 0 0 50 0 0 0 
22 9950 14 2 7 0 27 0 0 0 50 0 0 0 
23 9946 15 3 6 0 30 0 0 0 50 0 0 0 
24 9941 14 4 6 0 35 0 0 0 50 0 0 0 
25 9938 17 3 6 0 36 0 0 0 50 0 0 0 
26 9931 19 4 8 1 37 0 0 0 50 0 0 0 
27 9927 16 7 9 0 40 1 0 0 50 0 0 0 
28 9918 21 7 7 1 45 1 0 0 50 0 0 0 
29 9911 21 8 9 2 48 1 0 0 50 0 0 0 
30 9906 19 9 10 3 52 1 0 0 50 0 0 0 
31 9897 24 7 11 4 56 1 0 0 50 0 0 0 
32 9889 28 5 15 2 58 3 0 0 50 0 0 0 
33 9882 31 3 12 3 66 3 0 0 50 0 0 0 
34 9876 27 4 13 2 75 3 0 0 50 0 0 0 
35 9863 30 8 14 2 81 2 0 0 50 0 0 0 
36 9858 28 12 14 1 85 2 0 0 50 0 0 0 
37 9850 28 13 16 2 88 3 0 0 50 0 0 0 
38 9836 27 16 21 2 94 4 0 0 50 0 0 0 
39 9828 27 13 25 3 100 4 0 0 50 0 0 0 
40 9819 31 8 31 2 104 5 0 0 50 0 0 0 
41 9811 31 7 28 1 116 6 0 0 50 0 0 0 
42 9796 35 11 30 1 122 5 0 0 50 0 0 0 
43 9782 38 12 34 0 128 6 0 0 50 0 0 0 
44 9772 37 10 36 0 139 6 0 0 50 0 0 0 
45 9753 38 17 35 3 148 6 0 0 50 0 0 0 
46 9736 39 14 42 3 160 6 0 0 50 0 0 0 
47 9715 42 23 41 2 171 6 0 0 50 0 0 0 
48 9697 47 24 41 3 183 5 0 0 50 0 0 0 
49 9684 47 18 45 3 198 5 0 0 50 0 0 0 
