###### TEST LOG ####################
# Time taken               : 24.34 s
# Test Parameters: 
# 0.55 0.98 0.00 0.70
# 1.00 1.00 0.00 0.30
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 4200
# HQ Tests Done in total   : 1800
# All Tests Done in total  : 6000
# Results Given in total   : 6000
# Locations Moved in total : 3952221
# Total recovered HCW      : 61
# Total HCW                : 80
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9989 10 0 0 0 1 0 0 0 50 0 0 0 
2 9989 10 0 0 0 1 0 0 0 50 0 0 0 
3 9989 8 0 0 0 3 0 0 0 50 0 0 0 
4 9985 8 2 0 0 5 0 0 0 50 0 0 0 
5 9983 9 2 1 0 5 0 0 0 50 0 0 0 
6 9978 8 7 1 0 6 0 0 0 50 0 0 0 
7 9976 8 6 2 0 8 0 0 0 50 0 0 0 
8 9972 7 5 5 0 10 1 0 0 50 0 0 0 
9 9968 9 4 6 0 11 2 0 0 50 0 0 0 
10 9963 11 2 9 0 13 2 0 0 50 0 0 0 
11 9959 10 4 10 0 15 2 0 0 50 0 0 0 
12 9954 9 7 11 0 17 2 0 0 50 0 0 0 
13 9947 11 8 10 2 21 1 0 0 50 0 0 0 
14 9940 14 9 12 1 23 1 0 0 50 0 0 0 
15 9936 14 8 15 0 25 2 0 0 50 0 0 0 
16 9931 14 6 18 1 28 2 0 0 50 0 0 0 
17 9922 13 8 19 2 33 3 0 0 50 0 0 0 
18 9916 12 7 18 3 40 4 0 0 50 0 0 0 
19 9909 14 9 19 2 42 5 0 0 50 0 0 0 
20 9898 17 10 23 2 46 4 0 0 50 0 0 0 
21 9888 19 10 25 1 53 4 0 0 50 0 0 0 
22 9877 18 9 30 1 61 4 0 0 50 0 0 0 
23 9869 22 8 31 1 66 3 0 0 50 0 0 0 
24 9859 25 9 34 0 70 3 0 0 50 0 0 0 
25 9843 28 12 35 1 78 3 0 0 50 0 0 0 
26 9828 32 12 36 1 88 3 0 0 50 0 0 0 
27 9819 36 11 36 1 96 1 0 0 50 0 0 0 
28 9802 39 10 40 2 105 2 0 0 50 0 0 0 
29 9790 43 7 42 2 114 2 0 0 50 0 0 0 
30 9776 37 10 42 1 132 2 0 0 50 0 0 0 
31 9769 37 6 44 0 141 3 0 0 50 0 0 0 
32 9753 40 12 42 0 150 3 0 0 50 0 0 0 
33 9743 38 11 42 1 163 2 0 0 50 0 0 0 
34 9725 39 12 47 2 174 1 0 0 50 0 0 0 
35 9700 51 16 48 2 183 0 0 0 50 0 0 0 
36 9683 48 21 52 3 193 0 0 0 50 0 0 0 
37 9657 53 15 65 5 205 0 0 0 50 0 0 0 
38 9638 55 18 64 3 219 3 0 0 50 0 0 0 
39 9617 56 22 66 3 233 3 0 0 50 0 0 0 
40 9601 56 19 67 3 252 2 0 0 50 0 0 0 
41 9581 59 18 68 0 269 5 0 0 50 0 0 0 
42 9553 65 23 71 1 282 5 0 0 50 0 0 0 
43 9523 75 26 73 1 297 5 0 0 50 0 0 0 
44 9493 85 21 78 4 314 5 0 0 50 0 0 0 
45 9461 90 34 75 2 330 8 0 0 50 0 0 0 
46 9423 92 39 83 3 352 8 0 0 50 0 0 0 
