###### TEST LOG ####################
# Time taken               : 32.06 s
# Test Parameters: 
# 0.95 0.98 0.00 0.80
# 1.00 1.00 0.00 0.20
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 1101
# HQ Tests Done in total   : 169
# All Tests Done in total  : 1270
# Results Given in total   : 1270
# Locations Moved in total : 3964333
# Total recovered HCW      : 72
# Total HCW                : 85
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9987 10 1 0 0 2 0 0 0 10 0 0 0 
2 9986 10 0 1 0 3 0 0 0 10 0 0 0 
3 9980 12 3 0 0 5 0 0 0 10 0 0 0 
4 9978 12 2 1 0 6 1 0 0 10 0 0 0 
5 9978 11 2 1 0 7 1 0 0 10 0 0 0 
6 9973 11 4 2 0 9 1 0 0 10 0 0 0 
7 9967 13 3 4 0 12 1 0 0 10 0 0 0 
8 9961 15 4 3 1 15 1 0 0 10 0 0 0 
9 9957 15 6 4 0 16 2 0 0 10 0 0 0 
10 9955 12 4 6 2 20 1 0 0 10 0 0 0 
11 9951 11 4 8 2 23 1 0 0 10 0 0 0 
12 9947 10 6 7 0 27 3 0 0 10 0 0 0 
13 9934 17 7 10 0 28 4 0 0 10 0 0 0 
14 9925 22 8 10 0 31 4 0 0 10 0 0 0 
15 9919 23 4 12 1 36 5 0 0 10 0 0 0 
16 9915 21 6 12 1 40 5 0 0 10 0 0 0 
17 9910 20 8 13 1 44 4 0 0 10 0 0 0 
18 9901 25 8 10 3 49 4 0 0 10 0 0 0 
19 9895 25 8 14 2 51 5 0 0 10 0 0 0 
20 9886 24 10 16 2 57 5 0 0 10 0 0 0 
21 9877 28 9 17 3 62 4 0 0 10 0 0 0 
22 9868 26 10 20 1 70 5 0 0 10 0 0 0 
23 9858 30 11 20 1 75 5 0 0 10 0 0 0 
24 9853 31 9 22 2 79 4 0 0 10 0 0 0 
25 9840 32 9 26 1 87 5 0 0 10 0 0 0 
26 9830 34 9 27 0 94 6 0 0 10 0 0 0 
27 9820 34 9 29 0 101 7 0 0 10 0 0 0 
28 9811 30 10 29 1 111 8 0 0 10 0 0 0 
