###### TEST LOG ####################
# Time taken               : 25.49 s
# Test Parameters: 
# 0.50 0.98 0.00 0.70
# 1.00 1.00 0.00 0.30
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 3955
# HQ Tests Done in total   : 1695
# All Tests Done in total  : 5650
# Results Given in total   : 5650
# Locations Moved in total : 3951769
# Total recovered HCW      : 65
# Total HCW                : 91
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9987 9 3 0 0 1 0 0 0 50 0 0 0 
2 9986 10 2 1 0 1 0 0 0 50 0 0 0 
3 9984 10 4 1 0 1 0 0 0 50 0 0 0 
4 9980 8 6 1 0 4 1 0 0 50 0 0 0 
5 9980 6 3 4 0 6 1 0 0 50 0 0 0 
6 9978 6 4 4 0 7 1 0 0 50 0 0 0 
7 9978 5 1 5 0 10 1 0 0 50 0 0 0 
8 9975 6 3 5 0 10 1 0 0 50 0 0 0 
9 9972 7 5 5 0 10 1 0 0 50 0 0 0 
10 9970 5 5 7 0 12 1 0 0 50 0 0 0 
11 9969 3 3 10 0 15 0 0 0 50 0 0 0 
12 9966 4 2 11 0 17 0 0 0 50 0 0 0 
13 9962 5 3 13 0 17 0 0 0 50 0 0 0 
14 9959 6 2 15 0 18 0 0 0 50 0 0 0 
15 9954 7 4 14 0 21 0 0 0 50 0 0 0 
16 9951 10 3 14 0 22 0 0 0 50 0 0 0 
17 9949 12 3 12 0 24 0 0 0 50 0 0 0 
18 9946 12 3 10 0 29 0 0 0 50 0 0 0 
19 9942 12 5 8 0 33 0 0 0 50 0 0 0 
20 9938 9 5 10 0 38 0 0 0 50 0 0 0 
21 9936 8 6 10 0 40 0 0 0 50 0 0 0 
22 9934 9 3 12 1 41 0 0 0 50 0 0 0 
23 9926 12 8 10 1 43 0 0 0 50 0 0 0 
24 9924 13 5 12 2 44 0 0 0 50 0 0 0 
25 9916 16 4 13 2 48 1 0 0 50 0 0 0 
26 9905 15 8 12 2 57 1 0 0 50 0 0 0 
27 9902 13 7 16 2 59 1 0 0 50 0 0 0 
28 9893 15 6 18 3 64 1 0 0 50 0 0 0 
29 9880 18 10 21 3 67 1 0 0 50 0 0 0 
30 9874 19 6 23 3 73 2 0 0 50 0 0 0 
31 9868 18 8 20 2 81 3 0 0 50 0 0 0 
32 9862 21 6 23 0 83 5 0 0 50 0 0 0 
33 9851 26 9 21 0 88 5 0 0 50 0 0 0 
34 9843 24 9 22 0 97 5 0 0 50 0 0 0 
35 9828 31 10 22 0 105 4 0 0 50 0 0 0 
36 9810 29 20 23 1 114 3 0 0 50 0 0 0 
37 9804 27 10 30 2 122 5 0 0 50 0 0 0 
38 9789 29 12 32 2 130 6 0 0 50 0 0 0 
39 9783 33 8 33 1 135 7 0 0 50 0 0 0 
40 9773 31 9 33 0 146 8 0 0 50 0 0 0 
41 9759 34 9 34 2 154 8 0 0 50 0 0 0 
42 9749 34 12 31 1 164 9 0 0 50 0 0 0 
43 9736 40 12 34 2 167 9 0 0 50 0 0 0 
44 9724 37 12 37 4 177 9 0 0 50 0 0 0 
45 9703 42 15 40 4 186 10 0 0 50 0 0 0 
46 9685 46 17 43 2 196 11 0 0 50 0 0 0 
47 9667 48 12 47 4 211 11 0 0 50 0 0 0 
48 9645 58 16 48 3 218 12 0 0 50 0 0 0 
49 9625 54 20 48 3 237 13 0 0 50 0 0 0 
50 9599 62 22 54 2 250 11 0 0 50 0 0 0 
51 9575 65 23 58 3 266 10 0 0 50 0 0 0 
52 9543 77 27 63 3 277 10 0 0 50 0 0 0 
53 9517 81 25 67 3 295 12 0 0 50 0 0 0 
54 9495 83 20 73 2 312 15 0 0 50 0 0 0 
55 9447 98 31 75 3 335 11 0 0 50 0 0 0 
56 9416 95 41 77 3 357 11 0 0 50 0 0 0 
57 9380 104 43 86 2 373 12 0 0 50 0 0 0 
58 9337 110 52 88 5 396 12 0 0 50 0 0 0 
59 9292 113 53 97 6 427 12 0 0 50 0 0 0 
60 9241 131 49 111 8 445 15 0 0 50 0 0 0 
61 9206 125 41 117 6 487 18 0 0 50 0 0 0 
62 9164 132 42 122 7 515 18 0 0 50 0 0 0 
63 9104 146 49 129 6 548 18 0 0 50 0 0 0 
64 9059 154 39 138 7 586 17 0 0 50 0 0 0 
65 9019 151 32 147 7 630 14 0 0 50 0 0 0 
66 8965 146 49 145 6 675 14 0 0 50 0 0 0 
67 8904 160 50 155 8 710 13 0 0 50 0 0 0 
68 8832 169 58 165 7 755 14 0 0 50 0 0 0 
69 8751 185 71 175 9 792 17 0 0 50 0 0 0 
70 8684 198 68 190 11 831 18 0 0 50 0 0 0 
71 8622 192 74 202 13 874 23 0 0 50 0 0 0 
72 8555 188 75 209 11 936 26 0 0 50 0 0 0 
73 8465 213 80 217 8 985 32 0 0 50 0 0 0 
74 8373 235 80 222 9 1051 30 0 0 50 0 0 0 
75 8286 237 89 230 8 1120 30 0 0 50 0 0 0 
76 8194 261 86 232 13 1192 22 0 0 50 0 0 0 
77 8106 262 94 237 13 1266 22 0 0 50 0 0 0 
78 8013 261 94 249 17 1343 23 0 0 50 0 0 0 
79 7924 276 84 254 13 1421 28 0 0 50 0 0 0 
80 7828 281 80 269 15 1498 29 0 0 50 0 0 0 
81 7735 285 81 286 19 1562 32 0 0 50 0 0 0 
82 7634 292 105 291 20 1622 36 0 0 50 0 0 0 
83 7536 301 109 300 17 1700 37 0 0 50 0 0 0 
84 7430 290 109 317 23 1794 37 0 0 50 0 0 0 
85 7341 287 102 333 20 1869 48 0 0 50 0 0 0 
86 7235 307 98 347 24 1943 46 0 0 50 0 0 0 
87 7138 316 92 351 27 2035 41 15 35 0 33 0 0 
88 7033 317 97 348 27 2137 41 30 70 0 70 0 0 
89 6940 317 95 368 22 2219 39 45 105 0 104 0 0 
90 6854 315 92 373 26 2301 39 60 140 0 135 0 0 
91 6768 316 90 385 15 2379 47 75 175 0 164 0 0 
92 6682 324 95 378 10 2457 54 90 210 0 194 0 0 
93 6582 337 85 381 11 2543 61 105 245 0 226 0 0 
94 6491 338 84 379 13 2641 54 120 280 0 261 0 0 
95 6413 313 87 379 11 2743 54 135 315 0 293 0 0 
96 6337 306 74 391 9 2831 52 150 350 0 322 0 0 
97 6276 291 65 385 8 2923 52 165 385 0 353 0 0 
98 6202 297 73 355 12 3013 48 180 420 0 382 0 0 
99 6137 302 66 355 9 3080 51 195 455 0 411 0 0 
100 6069 293 57 356 9 3162 54 210 490 0 446 0 0 
101 6014 282 56 344 11 3239 54 225 525 0 446 0 0 
102 5943 266 58 334 14 3332 53 240 560 0 444 0 0 
103 5905 244 46 326 16 3412 51 255 595 0 448 0 0 
104 5849 246 44 319 8 3477 57 270 630 0 436 0 0 
105 5806 242 42 307 8 3541 54 285 665 0 428 0 0 
