###### TEST LOG ####################
# Time taken               : 28.25 s
# Test Parameters: 
# 0.55 0.98 0.00 0.20
# 1.00 1.00 0.00 0.80
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 1020
# HQ Tests Done in total   : 4080
# All Tests Done in total  : 5100
# Results Given in total   : 5100
# Locations Moved in total : 3951376
# Total recovered HCW      : 53
# Total HCW                : 69
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9989 10 0 0 0 1 0 0 0 50 0 0 0 
2 9988 7 1 0 0 4 0 0 0 50 0 0 0 
3 9988 7 1 0 0 4 0 0 0 50 0 0 0 
4 9987 6 1 0 0 6 0 0 0 50 0 0 0 
5 9986 4 1 1 0 8 0 0 0 50 0 0 0 
6 9985 4 1 1 0 9 0 0 0 50 0 0 0 
7 9985 3 1 1 0 10 0 0 0 50 0 0 0 
8 9984 2 2 1 0 11 0 0 0 50 0 0 0 
9 9980 4 4 1 0 11 0 0 0 50 0 0 0 
10 9978 5 4 2 0 11 0 0 0 50 0 0 0 
11 9977 5 2 4 0 12 0 0 0 50 0 0 0 
12 9972 7 1 6 0 14 0 0 0 50 0 0 0 
13 9971 8 0 5 1 15 0 0 0 50 0 0 0 
14 9971 8 0 5 1 15 0 0 0 50 0 0 0 
15 9967 6 2 5 1 19 0 0 0 50 0 0 0 
16 9966 5 1 7 0 20 1 0 0 50 0 0 0 
17 9964 7 1 7 0 20 1 0 0 50 0 0 0 
18 9962 7 1 8 0 21 1 0 0 50 0 0 0 
19 9960 6 2 9 0 23 0 0 0 50 0 0 0 
20 9955 7 5 10 0 23 0 0 0 50 0 0 0 
21 9950 9 6 8 0 27 0 0 0 50 0 0 0 
22 9948 9 6 8 0 29 0 0 0 50 0 0 0 
23 9944 12 5 9 0 30 0 0 0 50 0 0 0 
24 9939 13 8 8 0 32 0 0 0 50 0 0 0 
25 9935 10 10 9 0 36 0 0 0 50 0 0 0 
26 9934 9 6 11 0 39 1 0 0 50 0 0 0 
27 9928 11 7 12 0 41 1 0 0 50 0 0 0 
28 9927 10 3 15 0 44 1 0 0 50 0 0 0 
29 9922 7 3 19 1 47 1 0 0 50 0 0 0 
30 9914 9 5 18 2 51 1 0 0 50 0 0 0 
31 9907 13 5 19 2 54 0 0 0 50 0 0 0 
32 9904 14 5 19 0 57 1 0 0 50 0 0 0 
33 9896 18 5 21 0 59 1 0 0 50 0 0 0 
34 9889 16 7 22 1 64 1 0 0 50 0 0 0 
35 9885 16 9 21 1 67 1 0 0 50 0 0 0 
36 9880 16 6 22 2 73 1 0 0 50 0 0 0 
37 9879 15 4 22 1 77 2 0 0 50 0 0 0 
38 9872 19 1 21 2 83 2 0 0 50 0 0 0 
39 9869 19 2 19 1 87 3 0 0 50 0 0 0 
40 9862 23 1 16 1 96 1 0 0 50 0 0 0 
41 9852 25 7 15 0 100 1 0 0 50 0 0 0 
42 9844 28 8 17 0 102 1 0 0 50 0 0 0 
43 9834 31 9 17 0 107 2 0 0 50 0 0 0 
44 9828 29 8 18 1 114 2 0 0 50 0 0 0 
45 9820 27 9 18 0 123 3 0 0 50 0 0 0 
46 9812 29 8 20 2 126 3 0 0 50 0 0 0 
