###### TEST LOG ####################
# Time taken               : 31.52 s
# Test Parameters: 
# 0.90 0.98 0.00 0.20
# 1.00 1.00 0.00 0.80
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 184
# HQ Tests Done in total   : 736
# All Tests Done in total  : 920
# Results Given in total   : 920
# Locations Moved in total : 3964729
# Total recovered HCW      : 56
# Total HCW                : 66
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9987 8 2 0 0 3 0 0 0 10 0 0 0 
2 9987 7 0 1 0 5 0 0 0 10 0 0 0 
3 9987 6 0 1 0 6 0 0 0 10 0 0 0 
4 9987 6 0 1 0 6 0 0 0 10 0 0 0 
5 9985 7 0 1 0 7 0 0 0 10 0 0 0 
6 9981 9 0 1 1 8 0 0 0 10 0 0 0 
7 9980 8 1 1 0 9 1 0 0 10 0 0 0 
8 9978 6 1 2 0 12 1 0 0 10 0 0 0 
9 9978 5 0 3 0 13 1 0 0 10 0 0 0 
10 9978 2 0 2 0 17 1 0 0 10 0 0 0 
11 9978 2 0 2 0 17 1 0 0 10 0 0 0 
12 9978 0 0 2 0 19 1 0 0 10 0 0 0 
13 9978 0 0 2 0 19 1 0 0 10 0 0 0 
14 9977 1 0 2 0 19 1 0 0 10 0 0 0 
15 9972 3 2 2 1 19 1 0 0 10 0 0 0 
16 9970 3 2 3 0 20 2 0 0 10 0 0 0 
17 9969 4 2 3 0 20 2 0 0 10 0 0 0 
18 9967 4 2 2 0 23 2 0 0 10 0 0 0 
19 9964 7 2 2 0 23 2 0 0 10 0 0 0 
20 9964 3 2 2 0 27 2 0 0 10 0 0 0 
21 9962 4 1 4 0 28 1 0 0 10 0 0 0 
22 9961 4 1 4 0 29 1 0 0 10 0 0 0 
23 9961 4 1 4 0 29 1 0 0 10 0 0 0 
24 9958 6 1 5 0 29 1 0 0 10 0 0 0 
25 9958 5 1 5 0 30 1 0 0 10 0 0 0 
26 9957 5 1 5 0 31 1 0 0 10 0 0 0 
27 9956 6 1 5 0 31 1 0 0 10 0 0 0 
28 9953 8 1 5 0 32 1 0 0 10 0 0 0 
29 9951 8 2 5 0 33 1 0 0 10 0 0 0 
30 9948 6 3 7 0 35 1 0 0 10 0 0 0 
31 9946 5 4 6 0 38 1 0 0 10 0 0 0 
32 9943 5 4 5 2 40 1 0 0 10 0 0 0 
33 9941 6 2 5 3 41 2 0 0 10 0 0 0 
34 9936 10 3 4 3 43 1 0 0 10 0 0 0 
35 9934 11 2 5 1 45 2 0 0 10 0 0 0 
36 9930 10 4 6 1 47 2 0 0 10 0 0 0 
37 9926 10 5 6 0 51 2 0 0 10 0 0 0 
38 9922 10 4 9 1 52 2 0 0 10 0 0 0 
39 9917 14 4 9 1 53 2 0 0 10 0 0 0 
40 9916 11 2 11 1 57 2 0 0 10 0 0 0 
41 9910 13 5 11 0 58 3 0 0 10 0 0 0 
42 9903 15 9 11 0 59 3 0 0 10 0 0 0 
43 9900 16 8 11 1 61 3 0 0 10 0 0 0 
44 9899 16 4 13 2 63 3 0 0 10 0 0 0 
45 9895 16 3 13 2 68 3 0 0 10 0 0 0 
46 9891 14 4 13 0 72 6 0 0 10 0 0 0 
47 9885 15 3 15 0 77 5 0 0 10 0 0 0 
48 9879 11 8 13 0 84 5 0 0 10 0 0 0 
49 9874 12 8 16 0 85 5 0 0 10 0 0 0 
50 9870 10 9 15 0 92 4 0 0 10 0 0 0 
51 9861 13 10 19 0 93 4 0 0 10 0 0 0 
52 9850 18 6 24 1 97 4 0 0 10 0 0 0 
53 9848 18 4 22 0 103 5 0 0 10 0 0 0 
54 9842 17 8 21 1 106 5 0 0 10 0 0 0 
55 9835 18 8 23 0 110 6 0 0 10 0 0 0 
56 9825 18 8 26 2 115 6 0 0 10 0 0 0 
57 9814 23 8 26 1 121 7 0 0 10 0 0 0 
58 9807 21 7 29 1 129 6 0 0 10 0 0 0 
59 9798 21 8 27 0 140 6 0 0 10 0 0 0 
60 9784 29 8 27 1 145 6 0 0 10 0 0 0 
61 9771 33 7 31 1 152 5 0 0 10 0 0 0 
62 9756 30 12 34 1 162 5 0 0 10 0 0 0 
63 9743 35 13 35 1 168 5 0 0 10 0 0 0 
64 9727 40 10 37 2 179 5 0 0 10 0 0 0 
65 9713 45 11 39 2 185 5 0 0 10 0 0 0 
66 9700 47 9 37 0 201 6 0 0 10 0 0 0 
67 9686 52 10 38 0 209 5 0 0 10 0 0 0 
68 9663 53 14 42 1 222 5 0 0 10 0 0 0 
69 9647 57 14 41 3 233 5 0 0 10 0 0 0 
70 9619 62 18 46 3 248 4 0 0 10 0 0 0 
71 9585 70 18 54 4 264 5 0 0 10 0 0 0 
72 9564 67 18 63 1 279 8 0 0 10 0 0 0 
