###### TEST LOG ####################
# Time taken               : 29.52 s
# Test Parameters: 
# 0.95 0.98 0.00 0.70
# 1.00 1.00 0.00 0.30
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 4585
# HQ Tests Done in total   : 1965
# All Tests Done in total  : 6550
# Results Given in total   : 6550
# Locations Moved in total : 3949695
# Total recovered HCW      : 76
# Total HCW                : 96
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9986 10 3 0 0 1 0 0 0 50 0 0 0 
2 9983 12 1 1 1 2 0 0 0 50 0 0 0 
3 9982 10 2 1 1 4 0 0 0 50 0 0 0 
4 9978 12 2 1 2 5 0 0 0 50 0 0 0 
5 9975 13 1 2 1 7 1 0 0 50 0 0 0 
6 9972 14 1 3 1 9 0 0 0 50 0 0 0 
7 9970 12 2 4 1 11 0 0 0 50 0 0 0 
8 9967 12 3 4 1 13 0 0 0 50 0 0 0 
9 9960 14 2 7 2 15 0 0 0 50 0 0 0 
10 9957 11 5 7 1 18 1 0 0 50 0 0 0 
11 9955 10 5 8 1 20 1 0 0 50 0 0 0 
12 9947 15 6 9 1 21 1 0 0 50 0 0 0 
13 9939 15 7 11 2 25 1 0 0 50 0 0 0 
14 9926 18 11 11 3 30 1 0 0 50 0 0 0 
15 9919 18 13 13 3 33 1 0 0 50 0 0 0 
16 9904 21 18 13 4 37 3 0 0 50 0 0 0 
17 9894 24 14 16 4 44 4 0 0 50 0 0 0 
18 9878 30 13 20 4 51 4 0 0 50 0 0 0 
19 9868 34 11 22 2 58 5 0 0 50 0 0 0 
20 9858 34 12 22 3 67 4 0 0 50 0 0 0 
21 9847 32 7 27 3 78 6 0 0 50 0 0 0 
22 9834 35 7 30 2 85 7 0 0 50 0 0 0 
23 9813 42 14 28 1 95 7 0 0 50 0 0 0 
