###### TEST LOG ####################
# Time taken               : 29.10 s
# Test Parameters: 
# 0.95 0.98 0.00 0.90
# 1.00 1.00 0.00 0.10
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 1204
# HQ Tests Done in total   : 26
# All Tests Done in total  : 1230
# Results Given in total   : 1230
# Locations Moved in total : 3960974
# Total recovered HCW      : 57
# Total HCW                : 65
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9985 10 2 1 0 2 0 0 0 10 0 0 0 
2 9982 12 1 2 0 3 0 0 0 10 0 0 0 
3 9980 9 1 3 0 7 0 0 0 10 0 0 0 
4 9973 11 4 3 0 9 0 0 0 10 0 0 0 
5 9973 8 4 3 0 12 0 0 0 10 0 0 0 
6 9971 8 3 4 1 13 0 0 0 10 0 0 0 
7 9967 10 4 4 0 14 1 0 0 10 0 0 0 
8 9965 8 5 5 0 16 1 0 0 10 0 0 0 
9 9961 9 2 7 0 20 1 0 0 10 0 0 0 
10 9956 10 4 6 0 24 0 0 0 10 0 0 0 
11 9952 8 6 7 1 26 0 0 0 10 0 0 0 
12 9945 9 4 9 1 31 1 0 0 10 0 0 0 
13 9943 11 4 6 0 34 2 0 0 10 0 0 0 
14 9940 12 2 9 0 35 2 0 0 10 0 0 0 
15 9938 12 3 7 0 38 2 0 0 10 0 0 0 
16 9935 12 2 8 0 41 2 0 0 10 0 0 0 
17 9931 11 2 9 0 45 2 0 0 10 0 0 0 
18 9931 10 2 9 0 46 2 0 0 10 0 0 0 
19 9923 13 6 7 0 49 2 0 0 10 0 0 0 
20 9918 14 5 8 0 52 3 0 0 10 0 0 0 
21 9913 16 6 7 0 55 3 0 0 10 0 0 0 
22 9908 17 6 10 0 57 2 0 0 10 0 0 0 
23 9903 18 6 13 0 58 2 0 0 10 0 0 0 
24 9895 22 5 15 0 62 1 0 0 10 0 0 0 
25 9883 26 10 17 0 63 1 0 0 10 0 0 0 
26 9874 28 8 22 2 65 1 0 0 10 0 0 0 
27 9867 30 7 22 3 70 1 0 0 10 0 0 0 
28 9857 34 10 21 3 75 0 0 0 10 0 0 0 
29 9846 37 9 24 1 82 1 0 0 10 0 0 0 
30 9838 34 11 26 0 89 2 0 0 10 0 0 0 
31 9825 31 11 28 0 104 1 0 0 10 0 0 0 
32 9815 34 12 25 0 112 2 0 0 10 0 0 0 
33 9801 36 15 23 1 122 2 0 0 10 0 0 0 
34 9790 39 12 27 2 128 2 0 0 10 0 0 0 
35 9770 42 18 30 1 136 3 0 0 10 0 0 0 
36 9750 49 19 33 0 145 4 0 0 10 0 0 0 
37 9737 49 15 39 1 155 4 0 0 10 0 0 0 
38 9710 60 13 46 1 166 4 0 0 10 0 0 0 
39 9684 72 17 46 2 174 5 0 0 10 0 0 0 
40 9662 78 16 49 2 189 4 0 0 10 0 0 0 
41 9643 80 21 46 3 203 4 0 0 10 0 0 0 
