###### TEST LOG ####################
# Time taken               : 25.03 s
# Test Parameters: 
# 0.80 0.98 0.00 0.40
# 1.00 1.00 0.00 0.60
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 508
# HQ Tests Done in total   : 762
# All Tests Done in total  : 1270
# Results Given in total   : 1270
# Locations Moved in total : 3966052
# Total recovered HCW      : 66
# Total HCW                : 93
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9984 14 1 0 0 1 0 0 0 10 0 0 0 
2 9981 15 1 0 0 3 0 0 0 10 0 0 0 
3 9977 17 2 1 0 3 0 0 0 10 0 0 0 
4 9971 18 3 3 0 5 0 0 0 10 0 0 0 
5 9969 17 3 2 1 8 0 0 0 10 0 0 0 
6 9967 16 4 2 1 10 0 0 0 10 0 0 0 
7 9964 17 3 4 1 11 0 0 0 10 0 0 0 
8 9957 17 8 4 0 13 1 0 0 10 0 0 0 
9 9946 18 12 9 0 14 1 0 0 10 0 0 0 
10 9938 20 10 10 1 20 1 0 0 10 0 0 0 
11 9936 20 9 11 1 22 1 0 0 10 0 0 0 
12 9928 25 7 14 0 24 2 0 0 10 0 0 0 
13 9919 24 11 17 0 27 2 0 0 10 0 0 0 
14 9909 23 9 19 1 37 2 0 0 10 0 0 0 
15 9904 21 11 19 1 42 2 0 0 10 0 0 0 
16 9896 26 7 23 1 44 3 0 0 10 0 0 0 
17 9876 33 13 26 0 48 4 0 0 10 0 0 0 
18 9858 40 8 36 0 55 3 0 0 10 0 0 0 
19 9842 43 11 36 0 65 3 0 0 10 0 0 0 
20 9834 38 11 31 0 83 3 0 0 10 0 0 0 
21 9819 39 12 33 1 93 3 0 0 10 0 0 0 
22 9808 39 12 31 2 103 5 0 0 10 0 0 0 
23 9790 35 18 34 1 116 6 0 0 10 0 0 0 
24 9778 37 10 40 2 128 5 0 0 10 0 0 0 
25 9758 43 13 39 2 139 6 0 0 10 0 0 0 
26 9744 42 14 40 2 151 7 0 0 10 0 0 0 
