###### TEST LOG ####################
# Time taken               : 28.84 s
# Test Parameters: 
# 0.75 0.98 0.00 0.30
# 1.00 1.00 0.00 0.70
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 1650
# HQ Tests Done in total   : 3850
# All Tests Done in total  : 5500
# Results Given in total   : 5500
# Locations Moved in total : 3952404
# Total recovered HCW      : 57
# Total HCW                : 73
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9990 10 0 0 0 0 0 0 0 50 0 0 0 
2 9985 11 2 0 0 2 0 0 0 50 0 0 0 
3 9983 10 1 1 0 5 0 0 0 50 0 0 0 
4 9982 10 1 1 0 6 0 0 0 50 0 0 0 
5 9980 9 3 1 0 7 0 0 0 50 0 0 0 
6 9980 9 1 3 0 7 0 0 0 50 0 0 0 
7 9980 5 0 4 0 11 0 0 0 50 0 0 0 
8 9979 6 0 3 0 12 0 0 0 50 0 0 0 
9 9979 5 0 3 0 13 0 0 0 50 0 0 0 
10 9979 5 0 3 0 13 0 0 0 50 0 0 0 
11 9977 5 1 4 0 13 0 0 0 50 0 0 0 
12 9974 5 2 5 0 14 0 0 0 50 0 0 0 
13 9972 6 2 5 0 15 0 0 0 50 0 0 0 
14 9969 6 4 5 0 16 0 0 0 50 0 0 0 
15 9967 6 4 6 0 17 0 0 0 50 0 0 0 
16 9962 7 5 6 1 19 0 0 0 50 0 0 0 
17 9955 10 8 5 1 21 0 0 0 50 0 0 0 
18 9952 11 6 7 1 23 0 0 0 50 0 0 0 
19 9946 15 6 7 0 25 1 0 0 50 0 0 0 
20 9941 16 6 6 0 31 0 0 0 50 0 0 0 
21 9935 17 6 8 0 34 0 0 0 50 0 0 0 
22 9933 13 4 11 0 39 0 0 0 50 0 0 0 
23 9928 15 4 12 0 41 0 0 0 50 0 0 0 
24 9924 14 2 16 0 44 0 0 0 50 0 0 0 
25 9918 15 4 15 0 48 0 0 0 50 0 0 0 
26 9914 15 7 12 0 52 0 0 0 50 0 0 0 
27 9912 15 4 12 0 56 1 0 0 50 0 0 0 
28 9908 17 6 9 0 59 1 0 0 50 0 0 0 
29 9902 20 6 11 0 60 1 0 0 50 0 0 0 
30 9898 22 4 15 0 60 1 0 0 50 0 0 0 
31 9890 26 3 16 1 63 1 0 0 50 0 0 0 
32 9884 27 4 16 0 67 2 0 0 50 0 0 0 
33 9874 28 9 14 0 73 2 0 0 50 0 0 0 
34 9866 31 9 16 0 76 2 0 0 50 0 0 0 
35 9854 28 13 17 2 85 1 0 0 50 0 0 0 
36 9844 27 11 22 3 92 1 0 0 50 0 0 0 
37 9835 23 17 22 1 100 2 0 0 50 0 0 0 
38 9821 26 17 23 2 108 3 0 0 50 0 0 0 
39 9812 29 11 28 4 113 3 0 0 50 0 0 0 
40 9805 28 8 29 7 120 3 0 0 50 0 0 0 
41 9795 29 4 35 3 127 7 0 0 50 0 0 0 
42 9776 26 11 37 3 140 7 0 0 50 0 0 0 
43 9761 30 14 31 6 152 6 0 0 50 0 0 0 
44 9745 28 16 31 6 167 7 0 0 50 0 0 0 
45 9736 29 12 35 5 177 6 0 0 50 0 0 0 
46 9722 35 14 35 4 183 7 0 0 50 0 0 0 
47 9710 37 11 39 4 192 7 0 0 50 0 0 0 
48 9682 47 16 37 5 204 9 0 0 50 0 0 0 
49 9666 45 21 37 5 219 7 0 0 50 0 0 0 
50 9644 45 27 39 7 231 7 0 0 50 0 0 0 
51 9628 45 28 44 5 240 10 0 0 50 0 0 0 
52 9610 51 29 47 1 249 13 0 0 50 0 0 0 
53 9588 45 31 54 0 268 14 0 0 50 0 0 0 
54 9559 56 32 57 3 280 13 0 0 50 0 0 0 
55 9525 68 33 64 4 295 11 0 0 50 0 0 0 
56 9493 69 34 73 1 317 13 0 0 50 0 0 0 
57 9447 81 41 85 4 331 11 0 0 50 0 0 0 
58 9408 96 40 87 6 353 10 0 0 50 0 0 0 
59 9370 101 37 97 6 377 12 0 0 50 0 0 0 
60 9330 104 40 102 5 408 11 0 0 50 0 0 0 
61 9288 107 41 107 9 436 12 0 0 50 0 0 0 
62 9243 109 41 125 10 459 13 0 0 50 0 0 0 
63 9192 120 40 132 12 487 17 0 0 50 0 0 0 
64 9151 128 43 131 12 514 21 0 0 50 0 0 0 
65 9099 141 42 136 9 547 26 0 0 50 0 0 0 
66 9047 147 46 141 6 585 28 0 0 50 0 0 0 
67 8999 149 49 153 5 618 27 0 0 50 0 0 0 
68 8945 151 52 163 5 654 30 0 0 50 0 0 0 
69 8884 155 62 165 4 701 29 0 0 50 0 0 0 
70 8823 171 66 166 4 739 31 0 0 50 0 0 0 
71 8759 172 69 177 4 789 30 0 0 50 0 0 0 
72 8690 184 67 182 8 840 29 0 0 50 0 0 0 
73 8618 188 68 188 10 900 28 0 0 50 0 0 0 
74 8563 195 58 201 10 946 27 0 0 50 0 0 0 
75 8493 208 61 201 11 998 28 0 0 50 0 0 0 
76 8397 227 77 206 11 1055 27 0 0 50 0 0 0 
77 8327 231 63 219 11 1116 33 0 0 50 0 0 0 
78 8258 242 59 225 10 1168 38 0 0 50 0 0 0 
