###### TEST LOG ####################
# Time taken               : 25.96 s
# Test Parameters: 
# 0.85 0.98 0.00 0.20
# 1.00 1.00 0.00 0.80
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 1270
# HQ Tests Done in total   : 5080
# All Tests Done in total  : 6350
# Results Given in total   : 6350
# Locations Moved in total : 3950779
# Total recovered HCW      : 58
# Total HCW                : 78
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9988 11 1 0 0 0 0 0 0 50 0 0 0 
2 9987 11 1 0 1 0 0 0 0 50 0 0 0 
3 9983 12 3 0 0 1 1 0 0 50 0 0 0 
4 9979 13 4 1 0 2 1 0 0 50 0 0 0 
5 9974 14 5 4 0 2 1 0 0 50 0 0 0 
6 9973 12 1 7 1 5 1 0 0 50 0 0 0 
7 9969 11 2 7 0 9 2 0 0 50 0 0 0 
8 9963 15 3 7 0 10 2 0 0 50 0 0 0 
9 9955 17 5 9 0 12 2 0 0 50 0 0 0 
10 9948 19 6 9 2 14 2 0 0 50 0 0 0 
11 9938 23 5 13 2 17 2 0 0 50 0 0 0 
12 9931 22 8 13 1 23 2 0 0 50 0 0 0 
13 9923 26 7 14 2 27 1 0 0 50 0 0 0 
14 9913 30 8 13 2 34 0 0 0 50 0 0 0 
15 9904 31 11 13 1 38 2 0 0 50 0 0 0 
16 9893 32 12 15 1 44 3 0 0 50 0 0 0 
17 9881 37 9 21 1 48 3 0 0 50 0 0 0 
18 9867 34 14 22 1 58 4 0 0 50 0 0 0 
19 9856 37 12 24 1 66 4 0 0 50 0 0 0 
20 9845 34 16 26 2 73 4 0 0 50 0 0 0 
21 9834 32 9 33 3 85 4 0 0 50 0 0 0 
22 9821 33 12 31 4 95 4 0 0 50 0 0 0 
23 9807 39 10 32 2 104 6 0 0 50 0 0 0 
24 9787 46 13 36 3 109 6 0 0 50 0 0 0 
25 9778 42 10 36 1 126 7 0 0 50 0 0 0 
26 9761 44 15 38 1 134 7 0 0 50 0 0 0 
27 9747 46 16 38 0 145 8 0 0 50 0 0 0 
28 9724 49 21 39 2 157 8 0 0 50 0 0 0 
29 9697 58 24 43 2 168 8 0 0 50 0 0 0 
30 9670 61 23 48 2 190 6 0 0 50 0 0 0 
31 9650 62 24 53 2 202 7 0 0 50 0 0 0 
32 9632 59 27 54 3 218 7 0 0 50 0 0 0 
33 9610 58 27 54 3 240 8 0 0 50 0 0 0 
34 9583 65 21 63 2 256 10 0 0 50 0 0 0 
35 9561 70 19 62 3 274 11 0 0 50 0 0 0 
36 9538 68 18 68 2 294 12 0 0 50 0 0 0 
37 9513 71 20 72 0 312 12 0 0 50 0 0 0 
38 9492 69 23 68 1 338 9 0 0 50 0 0 0 
39 9471 71 21 73 1 356 7 0 0 50 0 0 0 
40 9445 71 30 74 3 370 7 0 0 50 0 0 0 
41 9407 84 30 81 5 385 8 0 0 50 0 0 0 
42 9379 91 25 90 5 401 9 0 0 50 0 0 0 
43 9344 89 31 90 5 433 8 0 0 50 0 0 0 
44 9301 93 36 95 6 462 7 0 0 50 0 0 0 
45 9262 98 42 94 8 488 8 0 0 50 0 0 0 
46 9221 107 36 107 11 509 9 0 0 50 0 0 0 
