###### TEST LOG ####################
# Time taken               : 27.92 s
# Test Parameters: 
# 0.70 0.98 0.00 0.20
# 1.00 1.00 0.00 0.80
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 262
# HQ Tests Done in total   : 1048
# All Tests Done in total  : 1310
# Results Given in total   : 1310
# Locations Moved in total : 3964359
# Total recovered HCW      : 60
# Total HCW                : 77
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9988 8 1 0 0 3 0 0 0 10 0 0 0 
2 9985 8 1 1 0 5 0 0 0 10 0 0 0 
3 9983 7 1 0 0 9 0 0 0 10 0 0 0 
4 9979 6 2 1 1 11 0 0 0 10 0 0 0 
5 9977 6 4 1 0 11 1 0 0 10 0 0 0 
6 9976 7 3 2 0 11 1 0 0 10 0 0 0 
7 9975 7 2 4 0 11 1 0 0 10 0 0 0 
8 9972 9 3 4 0 11 1 0 0 10 0 0 0 
9 9963 15 2 6 0 13 1 0 0 10 0 0 0 
10 9957 16 6 5 0 15 1 0 0 10 0 0 0 
11 9951 20 5 5 1 17 1 0 0 10 0 0 0 
12 9943 19 8 8 1 20 1 0 0 10 0 0 0 
13 9936 19 10 8 2 24 1 0 0 10 0 0 0 
14 9929 21 9 11 1 27 2 0 0 10 0 0 0 
15 9923 21 7 12 2 35 0 0 0 10 0 0 0 
16 9915 20 6 14 1 42 2 0 0 10 0 0 0 
17 9912 22 2 16 1 44 3 0 0 10 0 0 0 
18 9901 28 4 15 2 47 3 0 0 10 0 0 0 
19 9889 32 9 16 2 49 3 0 0 10 0 0 0 
20 9879 34 7 20 4 53 3 0 0 10 0 0 0 
21 9863 38 11 23 4 57 4 0 0 10 0 0 0 
22 9850 36 12 28 2 66 6 0 0 10 0 0 0 
23 9834 42 14 31 2 73 4 0 0 10 0 0 0 
24 9813 52 18 32 1 79 5 0 0 10 0 0 0 
25 9797 50 21 34 2 91 5 0 0 10 0 0 0 
26 9782 50 22 38 4 99 5 0 0 10 0 0 0 
27 9763 52 24 43 3 109 6 0 0 10 0 0 0 
28 9735 57 29 51 2 120 6 0 0 10 0 0 0 
29 9705 61 29 58 3 140 4 0 0 10 0 0 0 
30 9679 68 29 61 1 157 5 0 0 10 0 0 0 
31 9651 72 30 65 3 175 4 0 0 10 0 0 0 
32 9625 75 31 70 5 190 4 0 0 10 0 0 0 
33 9601 73 29 75 3 214 5 0 0 10 0 0 0 
34 9580 76 24 81 3 231 5 0 0 10 0 0 0 
35 9551 74 31 88 1 249 6 0 0 10 0 0 0 
36 9525 76 31 94 5 263 6 0 0 10 0 0 0 
37 9482 86 40 90 8 288 6 0 0 10 0 0 0 
38 9432 101 47 95 6 310 9 0 0 10 0 0 0 
39 9394 107 47 98 4 339 11 0 0 10 0 0 0 
