###### TEST LOG ####################
# Time taken               : 27.34 s
# Test Parameters: 
# 0.75 0.98 0.00 0.40
# 1.00 1.00 0.00 0.60
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 2460
# HQ Tests Done in total   : 3690
# All Tests Done in total  : 6150
# Results Given in total   : 6150
# Locations Moved in total : 3949331
# Total recovered HCW      : 59
# Total HCW                : 76
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9988 8 1 0 0 3 0 0 0 50 0 0 0 
2 9987 8 1 0 0 4 0 0 0 50 0 0 0 
3 9983 8 2 1 0 6 0 0 0 50 0 0 0 
4 9982 8 2 2 0 6 0 0 0 50 0 0 0 
5 9976 9 3 5 0 7 0 0 0 50 0 0 0 
6 9973 9 3 4 0 10 1 0 0 50 0 0 0 
7 9969 9 5 5 0 11 1 0 0 50 0 0 0 
8 9968 7 4 6 0 14 1 0 0 50 0 0 0 
9 9962 11 5 7 0 14 1 0 0 50 0 0 0 
10 9960 11 3 6 1 17 2 0 0 50 0 0 0 
11 9952 14 4 8 1 19 2 0 0 50 0 0 0 
12 9949 13 4 8 1 23 2 0 0 50 0 0 0 
13 9944 15 5 9 0 25 2 0 0 50 0 0 0 
14 9933 18 5 13 1 29 1 0 0 50 0 0 0 
15 9929 20 5 11 0 32 3 0 0 50 0 0 0 
16 9921 22 8 11 0 35 3 0 0 50 0 0 0 
17 9915 19 10 14 0 40 2 0 0 50 0 0 0 
18 9908 23 11 16 0 41 1 0 0 50 0 0 0 
19 9895 27 11 16 1 49 1 0 0 50 0 0 0 
20 9884 29 13 17 3 53 1 0 0 50 0 0 0 
