###### TEST LOG ####################
# Time taken               : 24.21 s
# Test Parameters: 
# 0.55 0.98 0.00 0.80
# 1.00 1.00 0.00 0.20
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 1135
# HQ Tests Done in total   : 155
# All Tests Done in total  : 1290
# Results Given in total   : 1290
# Locations Moved in total : 3967990
# Total recovered HCW      : 64
# Total HCW                : 69
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9987 8 3 0 0 2 0 0 0 10 0 0 0 
2 9986 7 2 2 0 3 0 0 0 10 0 0 0 
3 9982 7 2 5 0 4 0 0 0 10 0 0 0 
4 9979 5 3 5 0 8 0 0 0 10 0 0 0 
5 9975 8 3 6 0 8 0 0 0 10 0 0 0 
6 9974 9 2 5 0 10 0 0 0 10 0 0 0 
7 9972 8 2 6 0 12 0 0 0 10 0 0 0 
8 9968 9 2 8 0 13 0 0 0 10 0 0 0 
9 9965 9 2 10 0 14 0 0 0 10 0 0 0 
10 9965 9 1 11 0 14 0 0 0 10 0 0 0 
11 9956 11 6 11 0 15 1 0 0 10 0 0 0 
12 9946 18 4 15 0 16 1 0 0 10 0 0 0 
13 9938 19 5 16 0 22 0 0 0 10 0 0 0 
14 9929 21 8 18 0 24 0 0 0 10 0 0 0 
15 9921 23 9 19 0 28 0 0 0 10 0 0 0 
16 9906 20 13 24 0 36 1 0 0 10 0 0 0 
17 9896 21 9 25 1 47 1 0 0 10 0 0 0 
18 9884 26 9 26 1 53 1 0 0 10 0 0 0 
19 9878 23 11 28 2 57 1 0 0 10 0 0 0 
20 9865 24 10 31 1 67 2 0 0 10 0 0 0 
21 9853 23 12 32 1 77 2 0 0 10 0 0 0 
22 9846 24 9 31 2 86 2 0 0 10 0 0 0 
23 9838 24 12 31 2 91 2 0 0 10 0 0 0 
24 9825 27 13 31 3 99 2 0 0 10 0 0 0 
25 9816 27 8 34 2 107 6 0 0 10 0 0 0 
26 9803 31 9 35 1 114 7 0 0 10 0 0 0 
27 9784 41 13 34 1 120 7 0 0 10 0 0 0 
28 9765 44 18 40 1 124 8 0 0 10 0 0 0 
29 9750 47 17 44 3 132 7 0 0 10 0 0 0 
30 9729 47 21 49 3 144 7 0 0 10 0 0 0 
31 9703 52 24 53 3 158 7 0 0 10 0 0 0 
32 9677 56 21 62 4 174 6 0 0 10 0 0 0 
33 9655 62 24 64 3 185 7 0 0 10 0 0 0 
34 9622 70 36 65 4 196 7 0 0 10 0 0 0 
35 9598 67 35 69 6 216 9 0 0 10 0 0 0 
36 9569 66 34 75 3 240 13 0 0 10 0 0 0 
37 9547 73 29 79 3 256 13 0 0 10 0 0 0 
38 9513 73 33 84 3 282 12 0 0 10 0 0 0 
39 9475 80 40 88 4 303 10 0 0 10 0 0 0 
40 9436 89 44 95 3 321 12 0 0 10 0 0 0 
41 9401 93 41 95 7 351 12 0 0 10 0 0 0 
42 9360 106 32 102 6 379 15 0 0 10 0 0 0 
43 9312 119 44 102 4 404 15 0 0 10 0 0 0 
44 9269 134 37 105 4 435 16 0 0 10 0 0 0 
45 9232 134 40 104 3 468 19 0 0 10 0 0 0 
46 9170 140 55 111 6 498 20 0 0 10 0 0 0 
47 9119 144 50 131 5 533 18 0 0 10 0 0 0 
48 9072 160 43 137 8 560 20 0 0 10 0 0 0 
49 9010 161 49 138 10 611 21 0 0 10 0 0 0 
50 8945 180 44 148 9 651 23 0 0 10 0 0 0 
51 8873 187 58 154 7 696 25 0 0 10 0 0 0 
52 8807 201 63 160 4 737 28 0 0 10 0 0 0 
53 8751 201 64 171 7 777 29 0 0 10 0 0 0 
54 8688 204 58 183 9 829 29 0 0 10 0 0 0 
55 8611 206 69 191 11 878 34 0 0 10 0 0 0 
56 8523 221 82 193 10 938 33 0 0 10 0 0 0 
57 8451 231 83 196 7 997 35 0 0 10 0 0 0 
58 8389 231 76 221 6 1039 38 0 0 10 0 0 0 
59 8302 248 69 233 8 1103 37 0 0 10 0 0 0 
60 8218 242 77 240 10 1174 39 0 0 10 0 0 0 
61 8130 258 82 246 8 1237 39 0 0 10 0 0 0 
62 8044 268 85 253 13 1298 39 0 0 10 0 0 0 
63 7943 285 98 262 15 1360 37 0 0 10 0 0 0 
64 7837 302 96 284 16 1424 41 0 0 10 0 0 0 
65 7749 312 92 287 19 1499 42 0 0 10 0 0 0 
66 7627 319 118 302 13 1577 44 0 0 10 0 0 0 
67 7540 319 99 326 14 1654 48 0 0 10 0 0 0 
68 7429 338 99 350 9 1725 50 0 0 10 0 0 0 
69 7311 339 104 360 13 1825 48 0 0 10 0 0 0 
70 7185 347 122 360 17 1920 49 0 0 10 0 0 0 
71 7084 356 110 381 18 2003 48 1 9 0 9 0 0 
72 6960 365 116 393 18 2097 51 2 18 0 14 0 0 
73 6847 382 116 386 18 2197 54 3 27 0 18 0 0 
74 6745 375 119 389 13 2302 57 4 36 0 23 0 0 
75 6628 377 111 400 17 2410 57 5 45 0 27 0 0 
76 6552 346 102 391 23 2530 56 6 54 0 33 0 0 
77 6446 349 88 397 23 2636 61 7 63 0 37 0 0 
78 6351 348 87 408 10 2726 70 8 72 0 43 0 0 
79 6263 357 83 402 11 2817 67 9 81 0 51 0 0 
80 6182 345 79 393 19 2916 66 10 90 0 57 0 0 
81 6086 350 85 393 20 2998 68 11 99 0 63 0 0 
82 6008 354 70 386 16 3094 72 12 108 0 71 0 0 
83 5927 345 73 374 14 3195 72 13 117 0 77 0 0 
84 5836 343 74 368 22 3289 68 14 126 0 84 0 0 
85 5750 339 82 360 19 3390 60 15 135 0 82 0 0 
86 5675 317 84 360 16 3488 60 16 144 0 82 0 0 
87 5590 307 91 350 12 3591 59 17 153 0 84 0 0 
88 5524 304 84 346 15 3670 57 18 162 0 86 0 0 
89 5434 311 82 356 13 3750 54 19 171 0 85 0 0 
90 5372 295 74 339 18 3854 48 20 180 0 86 0 0 
91 5307 295 75 321 13 3940 49 21 189 0 87 0 0 
92 5247 286 75 316 11 4015 50 22 198 0 87 0 0 
93 5184 288 69 316 11 4086 46 23 207 0 83 0 0 
94 5120 282 67 305 12 4169 45 24 216 0 83 0 0 
95 5055 285 69 294 12 4240 45 25 225 0 81 0 0 
96 5002 274 59 310 9 4299 47 26 234 0 76 0 0 
97 4926 278 66 299 11 4374 46 27 243 0 78 0 0 
98 4844 281 74 297 9 4449 46 28 252 0 77 0 0 
99 4789 271 66 296 8 4521 49 29 261 0 79 0 0 
100 4718 278 63 299 9 4589 44 30 270 0 79 0 0 
101 4667 267 60 288 8 4663 47 31 279 0 79 0 0 
102 4628 247 55 276 6 4744 44 32 288 0 78 0 0 
103 4574 242 54 271 9 4808 42 33 297 0 78 0 0 
104 4533 233 45 270 9 4867 43 34 306 0 79 0 0 
105 4484 227 42 271 9 4927 40 35 315 0 82 0 0 
106 4454 216 42 258 6 4987 37 36 324 0 83 0 0 
107 4408 218 45 253 7 5035 34 37 333 0 86 0 0 
108 4376 199 43 248 5 5098 31 38 342 0 83 0 0 
109 4342 183 41 237 10 5159 28 39 351 0 82 0 0 
110 4311 172 41 229 7 5210 30 40 360 0 84 0 0 
111 4277 168 40 220 8 5259 28 41 369 0 82 0 0 
