###### TEST LOG ####################
# Time taken               : 26.78 s
# Test Parameters: 
# 0.80 0.98 0.00 0.00
# 1.00 1.00 0.00 1.00
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.10%
# LQ Tests Done in total   : 0
# HQ Tests Done in total   : 1090
# All Tests Done in total  : 1090
# Results Given in total   : 1090
# Locations Moved in total : 3963440
# Total recovered HCW      : 71
# Total HCW                : 82
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 10 0 0 0 
1 9984 14 1 1 0 0 0 0 0 10 0 0 0 
2 9983 10 1 1 0 5 0 0 0 10 0 0 0 
3 9983 10 1 0 0 6 0 0 0 10 0 0 0 
4 9980 11 2 0 0 7 0 0 0 10 0 0 0 
5 9976 13 2 1 0 8 0 0 0 10 0 0 0 
6 9974 10 3 0 0 13 0 0 0 10 0 0 0 
7 9972 10 3 0 0 15 0 0 0 10 0 0 0 
8 9971 7 2 1 1 18 0 0 0 10 0 0 0 
9 9969 6 1 3 1 20 0 0 0 10 0 0 0 
10 9967 7 1 3 1 21 0 0 0 10 0 0 0 
11 9964 8 3 3 0 22 0 0 0 10 0 0 0 
12 9960 8 3 4 0 25 0 0 0 10 0 0 0 
13 9958 9 4 3 0 26 0 0 0 10 0 0 0 
14 9951 10 6 2 0 30 1 0 0 10 0 0 0 
15 9949 12 2 6 0 30 1 0 0 10 0 0 0 
16 9945 11 3 5 0 35 1 0 0 10 0 0 0 
17 9943 10 1 6 0 39 1 0 0 10 0 0 0 
18 9939 10 3 5 0 42 1 0 0 10 0 0 0 
19 9936 11 4 3 0 45 1 0 0 10 0 0 0 
20 9936 10 1 5 1 46 1 0 0 10 0 0 0 
21 9935 10 1 4 1 48 1 0 0 10 0 0 0 
22 9933 10 1 4 2 49 1 0 0 10 0 0 0 
23 9928 11 2 5 2 52 0 0 0 10 0 0 0 
24 9923 12 3 4 2 56 0 0 0 10 0 0 0 
25 9914 14 6 4 3 59 0 0 0 10 0 0 0 
26 9911 13 4 5 2 63 2 0 0 10 0 0 0 
27 9910 11 4 6 2 65 2 0 0 10 0 0 0 
28 9908 11 2 5 3 68 3 0 0 10 0 0 0 
29 9901 14 3 6 2 71 3 0 0 10 0 0 0 
30 9893 16 6 8 2 73 2 0 0 10 0 0 0 
31 9888 18 4 8 0 78 4 0 0 10 0 0 0 
32 9886 15 4 8 1 82 4 0 0 10 0 0 0 
33 9881 17 3 8 0 86 5 0 0 10 0 0 0 
34 9875 17 4 9 1 89 5 0 0 10 0 0 0 
35 9864 18 6 11 1 94 6 0 0 10 0 0 0 
36 9854 20 7 11 0 101 7 0 0 10 0 0 0 
37 9848 19 8 9 1 108 7 0 0 10 0 0 0 
38 9836 24 6 14 2 111 7 0 0 10 0 0 0 
39 9828 25 7 17 1 114 8 0 0 10 0 0 0 
40 9822 27 7 18 2 117 7 0 0 10 0 0 0 
41 9811 27 8 18 2 126 8 0 0 10 0 0 0 
42 9799 28 7 21 1 134 10 0 0 10 0 0 0 
43 9790 26 4 23 1 144 12 0 0 10 0 0 0 
44 9777 30 10 20 1 150 12 0 0 10 0 0 0 
45 9768 32 9 23 1 155 12 0 0 10 0 0 0 
46 9760 32 13 21 0 163 11 0 0 10 0 0 0 
47 9744 36 15 24 0 171 10 0 0 10 0 0 0 
48 9724 48 17 28 0 173 10 0 0 10 0 0 0 
49 9708 55 12 36 0 180 9 0 0 10 0 0 0 
50 9689 54 17 37 1 194 8 0 0 10 0 0 0 
51 9676 48 18 38 3 210 7 0 0 10 0 0 0 
52 9655 48 20 44 2 224 7 0 0 10 0 0 0 
53 9634 49 23 48 2 237 7 0 0 10 0 0 0 
54 9607 57 25 54 2 247 8 0 0 10 0 0 0 
55 9583 58 25 53 4 270 7 0 0 10 0 0 0 
56 9551 70 25 57 2 290 5 0 0 10 0 0 0 
57 9533 69 19 62 3 307 7 0 0 10 0 0 0 
58 9510 66 22 63 3 328 8 0 0 10 0 0 0 
59 9476 78 27 62 3 345 9 0 0 10 0 0 0 
60 9445 85 24 68 4 363 11 0 0 10 0 0 0 
61 9401 97 37 70 3 381 11 0 0 10 0 0 0 
62 9355 103 33 80 4 417 8 0 0 10 0 0 0 
63 9312 100 36 90 4 450 8 0 0 10 0 0 0 
64 9278 106 31 93 6 477 9 0 0 10 0 0 0 
65 9231 114 39 95 6 503 12 0 0 10 0 0 0 
66 9195 108 36 110 9 530 12 0 0 10 0 0 0 
67 9157 105 43 118 8 557 12 0 0 10 0 0 0 
68 9094 122 54 122 10 582 16 0 0 10 0 0 0 
69 9038 143 61 127 5 607 19 0 0 10 0 0 0 
70 8971 161 58 141 9 640 20 0 0 10 0 0 0 
