###### TEST LOG ####################
# Time taken               : 26.59 s
# Test Parameters: 
# 0.65 0.98 0.00 0.20
# 1.00 1.00 0.00 0.80
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 1180
# HQ Tests Done in total   : 4720
# All Tests Done in total  : 5900
# Results Given in total   : 5900
# Locations Moved in total : 3951149
# Total recovered HCW      : 52
# Total HCW                : 72
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9988 11 1 0 0 0 0 0 0 50 0 0 0 
2 9986 11 0 2 0 1 0 0 0 50 0 0 0 
3 9984 9 1 3 0 3 0 0 0 50 0 0 0 
4 9981 9 1 4 0 5 0 0 0 50 0 0 0 
5 9980 8 2 4 0 6 0 0 0 50 0 0 0 
6 9976 9 2 6 0 7 0 0 0 50 0 0 0 
7 9973 9 2 5 0 11 0 0 0 50 0 0 0 
8 9971 9 2 5 0 13 0 0 0 50 0 0 0 
9 9970 8 2 5 0 15 0 0 0 50 0 0 0 
10 9966 7 3 6 0 18 0 0 0 50 0 0 0 
11 9961 8 4 7 0 20 0 0 0 50 0 0 0 
12 9959 7 1 10 1 22 0 0 0 50 0 0 0 
13 9954 6 6 9 1 24 0 0 0 50 0 0 0 
14 9953 7 5 10 1 24 0 0 0 50 0 0 0 
15 9947 7 4 13 2 27 0 0 0 50 0 0 0 
16 9940 8 4 15 2 30 1 0 0 50 0 0 0 
17 9934 11 3 14 3 34 1 0 0 50 0 0 0 
18 9932 9 4 14 3 36 2 0 0 50 0 0 0 
19 9924 12 8 14 3 37 2 0 0 50 0 0 0 
20 9919 14 6 14 3 42 2 0 0 50 0 0 0 
21 9913 16 7 17 1 43 3 0 0 50 0 0 0 
22 9907 18 6 15 0 51 3 0 0 50 0 0 0 
23 9898 21 5 13 1 59 3 0 0 50 0 0 0 
24 9892 23 4 13 0 64 4 0 0 50 0 0 0 
25 9888 23 3 13 0 71 2 0 0 50 0 0 0 
26 9885 19 3 12 0 79 2 0 0 50 0 0 0 
27 9878 19 3 15 0 83 2 0 0 50 0 0 0 
28 9869 22 4 14 0 89 2 0 0 50 0 0 0 
29 9864 26 3 14 0 91 2 0 0 50 0 0 0 
30 9852 27 6 14 0 100 1 0 0 50 0 0 0 
31 9841 25 8 19 0 106 1 0 0 50 0 0 0 
32 9831 30 9 18 0 112 0 0 0 50 0 0 0 
33 9823 31 11 18 1 116 0 0 0 50 0 0 0 
34 9813 31 14 20 2 120 0 0 0 50 0 0 0 
35 9799 35 16 22 2 125 1 0 0 50 0 0 0 
36 9784 39 16 27 1 130 3 0 0 50 0 0 0 
37 9774 36 16 22 2 147 3 0 0 50 0 0 0 
38 9762 34 17 24 3 158 2 0 0 50 0 0 0 
39 9749 33 19 29 3 165 2 0 0 50 0 0 0 
40 9721 43 23 34 2 174 3 0 0 50 0 0 0 
41 9705 49 18 40 2 183 3 0 0 50 0 0 0 
42 9683 50 19 46 2 197 3 0 0 50 0 0 0 
43 9664 53 17 45 1 216 4 0 0 50 0 0 0 
44 9636 59 22 47 1 231 4 0 0 50 0 0 0 
45 9609 61 32 52 2 241 3 0 0 50 0 0 0 
46 9569 67 34 60 2 264 4 0 0 50 0 0 0 
