###### TEST LOG ####################
# Time taken               : 30.87 s
# Test Parameters: 
# 0.65 0.98 0.00 1.00
# 1.00 1.00 0.00 0.00
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 6350
# HQ Tests Done in total   : 0
# All Tests Done in total  : 6350
# Results Given in total   : 6350
# Locations Moved in total : 3949517
# Total recovered HCW      : 51
# Total HCW                : 78
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9987 10 2 0 0 1 0 0 0 50 0 0 0 
2 9987 9 1 1 0 2 0 0 0 50 0 0 0 
3 9984 11 0 2 0 3 0 0 0 50 0 0 0 
4 9984 11 0 2 0 3 0 0 0 50 0 0 0 
5 9982 10 2 2 0 4 0 0 0 50 0 0 0 
6 9979 10 3 3 0 5 0 0 0 50 0 0 0 
7 9977 10 2 5 0 6 0 0 0 50 0 0 0 
8 9972 10 3 6 0 9 0 0 0 50 0 0 0 
9 9967 10 5 5 0 13 0 0 0 50 0 0 0 
10 9964 10 5 6 0 15 0 0 0 50 0 0 0 
11 9961 12 1 8 1 17 0 0 0 50 0 0 0 
12 9956 13 2 7 1 21 0 0 0 50 0 0 0 
13 9952 13 6 6 0 23 0 0 0 50 0 0 0 
14 9946 14 7 7 0 26 0 0 0 50 0 0 0 
15 9941 17 4 8 1 29 0 0 0 50 0 0 0 
16 9940 16 4 9 0 31 0 0 0 50 0 0 0 
