###### TEST LOG ####################
# Time taken               : 29.78 s
# Test Parameters: 
# 0.90 0.98 0.00 0.80
# 1.00 1.00 0.00 0.20
# Confined Less Infective? : True
# Homes Quarantined?       : False
# Quarantine when sampled? : False
# Testing Started When     : 20.00% recovered
# Fraction Tested Daily    : 0.50%
# LQ Tests Done in total   : 4950
# HQ Tests Done in total   : 1150
# All Tests Done in total  : 6100
# Results Given in total   : 6100
# Locations Moved in total : 3947930
# Total recovered HCW      : 59
# Total HCW                : 79
# Rate Array: 
#     0 0.125 0.125     0     0     0     0 
#     0     0     0     0     0 0.143     0 
#     0     0     0 0.425 0.075     0     0 
#     0     0     0     0     0   0.1     0 
#     0     0     0     0     0   0.1   0.4 
#     0     0     0     0     0     0     0 
#     0     0     0     0     0   0.1     0 
###### END LOG #####################
#
# Day nS nA nP nMI nSI nR nH PCR_conducted_today RAT_conducted_today Tests_remaining_today Agents_currently_confined Quarantines_removed_today Locations_in_quarantine_today
0 9990 10 0 0 0 0 0 0 0 50 0 0 0 
1 9990 8 0 0 0 2 0 0 0 50 0 0 0 
2 9987 10 0 0 0 3 0 0 0 50 0 0 0 
3 9986 9 1 0 0 4 0 0 0 50 0 0 0 
4 9985 9 1 0 1 4 0 0 0 50 0 0 0 
5 9981 10 2 1 1 5 0 0 0 50 0 0 0 
6 9976 8 5 2 1 8 0 0 0 50 0 0 0 
7 9974 8 4 2 1 11 0 0 0 50 0 0 0 
8 9972 6 5 2 0 14 1 0 0 50 0 0 0 
9 9969 5 4 4 0 17 1 0 0 50 0 0 0 
10 9964 7 5 5 0 18 1 0 0 50 0 0 0 
11 9960 6 3 8 1 21 1 0 0 50 0 0 0 
12 9956 9 4 8 1 21 1 0 0 50 0 0 0 
13 9952 7 6 8 1 25 1 0 0 50 0 0 0 
14 9948 8 4 9 2 28 1 0 0 50 0 0 0 
15 9945 9 3 8 3 30 2 0 0 50 0 0 0 
16 9938 11 2 11 4 31 3 0 0 50 0 0 0 
17 9930 15 5 9 2 34 5 0 0 50 0 0 0 
18 9923 17 6 10 1 37 6 0 0 50 0 0 0 
19 9914 17 6 12 0 45 6 0 0 50 0 0 0 
20 9904 18 13 11 0 48 6 0 0 50 0 0 0 
21 9901 18 10 14 1 51 5 0 0 50 0 0 0 
22 9898 16 6 18 1 55 6 0 0 50 0 0 0 
23 9890 20 7 20 1 58 4 0 0 50 0 0 0 
24 9886 19 7 20 1 64 3 0 0 50 0 0 0 
25 9873 22 11 23 1 67 3 0 0 50 0 0 0 
26 9862 23 11 26 2 73 3 0 0 50 0 0 0 
27 9852 22 15 25 1 82 3 0 0 50 0 0 0 
28 9842 24 14 28 2 87 3 0 0 50 0 0 0 
29 9826 34 10 33 2 92 3 0 0 50 0 0 0 
30 9813 39 10 36 2 96 4 0 0 50 0 0 0 
31 9801 40 10 39 3 103 4 0 0 50 0 0 0 
32 9785 45 9 35 3 120 3 0 0 50 0 0 0 
33 9767 47 11 34 3 135 3 0 0 50 0 0 0 
34 9750 49 12 37 1 148 3 0 0 50 0 0 0 
35 9735 47 12 37 2 163 4 0 0 50 0 0 0 
36 9705 58 19 43 2 169 4 0 0 50 0 0 0 
37 9679 58 25 46 4 186 2 0 0 50 0 0 0 
38 9654 67 24 53 2 194 6 0 0 50 0 0 0 
39 9629 70 17 65 4 208 7 0 0 50 0 0 0 
40 9600 72 21 67 5 228 7 0 0 50 0 0 0 
41 9568 70 31 63 5 254 9 0 0 50 0 0 0 
42 9538 82 28 70 5 264 13 0 0 50 0 0 0 
43 9506 86 32 70 10 283 13 0 0 50 0 0 0 
44 9469 90 35 78 10 304 14 0 0 50 0 0 0 
45 9433 93 36 80 6 334 18 0 0 50 0 0 0 
46 9412 88 31 89 4 355 21 0 0 50 0 0 0 
47 9378 88 37 91 2 384 20 0 0 50 0 0 0 
48 9341 95 32 91 7 415 19 0 0 50 0 0 0 
49 9301 104 35 99 4 434 23 0 0 50 0 0 0 
50 9248 119 40 109 5 456 23 0 0 50 0 0 0 
51 9215 115 37 121 5 486 21 0 0 50 0 0 0 
52 9167 117 40 123 5 526 22 0 0 50 0 0 0 
53 9124 118 41 125 7 563 22 0 0 50 0 0 0 
54 9076 127 40 129 8 595 25 0 0 50 0 0 0 
55 9037 128 37 128 9 634 27 0 0 50 0 0 0 
56 8980 134 46 130 10 676 24 0 0 50 0 0 0 
57 8912 149 56 143 4 708 28 0 0 50 0 0 0 
58 8852 158 59 153 7 743 28 0 0 50 0 0 0 
59 8789 163 64 156 4 795 29 0 0 50 0 0 0 
60 8711 182 63 173 8 838 25 0 0 50 0 0 0 
61 8640 195 77 173 7 882 26 0 0 50 0 0 0 
62 8569 205 74 191 8 923 30 0 0 50 0 0 0 
63 8513 207 64 200 10 976 30 0 0 50 0 0 0 
64 8463 211 53 204 9 1025 35 0 0 50 0 0 0 
65 8394 226 67 201 7 1072 33 0 0 50 0 0 0 
66 8302 230 83 208 12 1134 31 0 0 50 0 0 0 
67 8210 241 75 224 13 1205 32 0 0 50 0 0 0 
68 8135 247 80 231 12 1262 33 0 0 50 0 0 0 
69 8023 270 91 247 11 1330 28 0 0 50 0 0 0 
70 7921 284 99 267 14 1386 29 0 0 50 0 0 0 
71 7842 282 91 277 11 1461 36 0 0 50 0 0 0 
72 7735 300 94 291 11 1532 37 0 0 50 0 0 0 
73 7648 298 99 297 11 1609 38 0 0 50 0 0 0 
74 7528 301 114 306 13 1696 42 0 0 50 0 0 0 
75 7429 303 120 304 14 1791 39 0 0 50 0 0 0 
76 7320 307 124 311 17 1880 41 0 0 50 0 0 0 
77 7202 314 123 339 12 1967 43 0 0 50 0 0 0 
78 7077 335 123 363 9 2052 41 9 41 0 46 0 0 
79 6970 336 114 388 9 2145 38 18 82 0 93 0 0 
80 6877 332 119 390 11 2233 38 27 123 0 141 0 0 
81 6776 342 111 377 17 2340 37 36 164 0 185 0 0 
82 6695 334 104 367 14 2444 42 45 205 0 228 0 0 
83 6604 336 104 370 13 2531 42 54 246 0 270 0 0 
84 6523 341 88 374 15 2618 41 63 287 0 314 0 0 
